framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,1,0,1,0,0,1,
defects4j,Chart,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,1,805,1,0,0,1,
defects4j,Chart,4,SF,1,1878,1,0,0,1,
defects4j,Chart,5,SF,1,4565,6,5,0,6,
defects4j,Chart,6,SH SF,0,10605,,18,4,22,
defects4j,Chart,7,SF,1,1507,1,0,0,1,
defects4j,Chart,8,SL SH SF,1,709,1,0,0,1,
defects4j,Chart,9,SL SH SF,1,736,1,0,0,1,
defects4j,Chart,10,SL SH SF,1,466,1,0,0,1,
defects4j,Chart,11,SL SH SF,1,1502,1,0,0,1,
defects4j,Chart,12,SL SH SF,1,552,1,0,0,1,
defects4j,Chart,13,SL SH SF,1,4824,1,0,0,1,
defects4j,Chart,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,1,0,1,0,0,1,
defects4j,Chart,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,1,0,1,0,0,1,
defects4j,Chart,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,10808,,0,22,22,
defects4j,Chart,24,SL SH SF,1,530,1,0,0,1,
defects4j,Chart,25,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,1,2880,1,0,0,1,
