framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Cli,1,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,2,SF,1,7598,14,13,0,14,
defects4j,Cli,3,SH SF,1,445,1,0,0,1,
defects4j,Cli,4,SH SF,0,8254,,22,0,22,
defects4j,Cli,5,SH SF,1,410,1,0,0,1,
defects4j,Cli,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,8,SL SH SF,1,506,1,0,0,1,
defects4j,Cli,9,SF,1,622,1,0,0,1,
defects4j,Cli,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,11,SL SH SF,1,0,1,0,0,1,
defects4j,Cli,12,SF,1,2980,6,5,0,6,
defects4j,Cli,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,14,SF,1,1064,1,0,0,1,
defects4j,Cli,15,SF,1,9002,15,14,0,15,
defects4j,Cli,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,17,SL SH SF,0,13096,,22,0,22,
defects4j,Cli,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,19,SF,0,10757,,0,22,22,
defects4j,Cli,20,SF,0,23850,,22,0,22,
defects4j,Cli,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,24,SH SF,1,12595,12,11,0,12,
defects4j,Cli,25,SL SH SF,1,774,1,0,0,1,
defects4j,Cli,26,SF,0,14295,,21,1,22,
defects4j,Cli,27,SF,0,11444,,22,0,22,
defects4j,Cli,28,SL SH SF,1,923,1,0,0,1,
defects4j,Cli,29,SF,0,10382,,22,0,22,
defects4j,Cli,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,32,SH SF,1,4805,9,0,8,9,
defects4j,Cli,33,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,35,SH SF,1,0,1,0,0,1,
defects4j,Cli,36,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,37,SF,1,509,1,0,0,1,
defects4j,Cli,38,SF,1,2620,5,4,0,5,
defects4j,Cli,39,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,40,SL SH SF,1,0,1,0,0,1,
