framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,0,11082,,0,22,22,
defects4j,Closure,2,SF,1,1309,2,0,1,2,
defects4j,Closure,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,16308,,21,1,22,
defects4j,Closure,5,SH SF,1,4966,6,5,0,6,
defects4j,Closure,6,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,1,0,1,0,0,1,
defects4j,Closure,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,1,433,1,0,0,1,
defects4j,Closure,11,SH SF,1,606,1,0,0,1,
defects4j,Closure,12,SH SF,1,533,1,0,0,1,
defects4j,Closure,13,SF,1,1023,4,2,1,4,
defects4j,Closure,14,SL SH SF,1,3776,3,2,0,3,
defects4j,Closure,15,SH SF,1,1366,9,6,2,9,
defects4j,Closure,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,1,0,1,0,0,1,
defects4j,Closure,19,SF,1,0,1,0,0,1,
defects4j,Closure,20,SH SF,0,11969,,22,0,22,
defects4j,Closure,21,SF,0,31311,,22,0,22,
defects4j,Closure,22,SF,0,32975,,22,0,22,
defects4j,Closure,23,SF,0,19126,,21,1,22,
defects4j,Closure,24,SF,0,13764,,22,0,22,
defects4j,Closure,25,SF,0,14547,,9,13,22,
defects4j,Closure,26,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,40722,,20,2,22,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,1,1670,2,1,0,2,
defects4j,Closure,32,SF,0,28060,,19,3,22,
defects4j,Closure,33,SH SF,0,18119,,2,20,22,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,12085,,17,5,22,
defects4j,Closure,36,SH SF,1,1119,1,0,0,1,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,1,589,1,0,0,1,
defects4j,Closure,39,SF,0,16181,,1,21,22,
defects4j,Closure,40,SF,0,17791,,18,4,22,
defects4j,Closure,41,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,18900,,0,22,22,
defects4j,Closure,43,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,1,552,1,0,0,1,
defects4j,Closure,45,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,32449,,19,3,22,
defects4j,Closure,49,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,0,45132,,21,1,22,
defects4j,Closure,51,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,1,620,1,0,0,1,
defects4j,Closure,53,SF,1,0,1,0,0,1,
defects4j,Closure,54,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,0,8866,,1,21,22,
defects4j,Closure,56,SF,1,990,1,0,0,1,
defects4j,Closure,57,SL SH SF,1,500,1,0,0,1,
defects4j,Closure,58,SF,1,7386,5,4,0,5,
defects4j,Closure,59,SH SF,1,9018,13,0,12,13,
defects4j,Closure,60,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,61,SH SF,1,2431,3,0,2,3,
defects4j,Closure,62,SL SH SF,1,0,1,0,0,1,
defects4j,Closure,64,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,65,SL SH SF,1,1049,1,0,0,1,
defects4j,Closure,66,SF,0,99169,,16,6,22,
defects4j,Closure,67,SL SH SF,0,9004,,16,6,22,
defects4j,Closure,68,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,69,SH SF,0,17510,,8,14,22,
defects4j,Closure,70,SL SH SF,1,598,1,0,0,1,
defects4j,Closure,71,SL SH SF,0,19763,,21,1,22,
defects4j,Closure,72,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,73,SL SH SF,1,1040,1,0,0,1,
defects4j,Closure,74,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,75,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,76,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,77,SL SH SF,1,1013,1,0,0,1,
defects4j,Closure,78,SF,1,1798,3,2,0,3,
defects4j,Closure,79,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,80,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,81,SH SF,0,29873,,13,9,22,
defects4j,Closure,82,SH SF,0,6663,,19,3,22,
defects4j,Closure,83,SH SF,1,1153,2,0,1,2,
defects4j,Closure,84,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,85,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,86,SL SH SF,1,0,1,0,0,1,
defects4j,Closure,87,SF,0,13228,,10,12,22,
defects4j,Closure,88,SF,1,997,1,0,0,1,
defects4j,Closure,89,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,90,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,91,SH SF,0,17617,,10,12,22,
defects4j,Closure,92,SL SH SF,1,970,1,0,0,1,
defects4j,Closure,94,SF,1,1655,2,0,1,2,
defects4j,Closure,95,SF,0,25156,,16,6,22,
defects4j,Closure,96,SF,1,4502,6,3,2,6,
defects4j,Closure,97,SH SF,1,0,1,0,0,1,
defects4j,Closure,98,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,99,SF,0,16586,,21,1,22,
defects4j,Closure,100,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,101,SF,1,1469,2,0,1,2,
defects4j,Closure,102,SF,0,11972,,18,4,22,
defects4j,Closure,103,OT,,,,,,,"Not SL, SH or SF bug. "
