framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,2,SL SH SF,0,13860,,22,0,22,
defects4j,Codec,3,SL SH SF,1,2196,2,1,0,2,
defects4j,Codec,4,SL SH SF,0,5304,,22,0,22,
defects4j,Codec,5,SH SF,1,0,1,0,0,1,
defects4j,Codec,6,SF,1,1217,3,2,0,3,
defects4j,Codec,7,SL SH SF,1,0,1,0,0,1,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,1,579,1,0,0,1,
defects4j,Codec,10,SL SH SF,0,30749,,22,0,22,
defects4j,Codec,11,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,12,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,0,11208,,22,0,22,
defects4j,Codec,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,17,SL SH SF,1,446,1,0,0,1,
defects4j,Codec,18,SL SH SF,1,6199,17,16,0,17,
