framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,9346,,22,0,22,
defects4j,Collections,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,3,SL SH SF,1,544,1,0,0,1,
defects4j,Collections,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,5,SF,1,716,1,0,0,1,
defects4j,Collections,6,SF,1,2209,2,1,0,2,
defects4j,Collections,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,9,SL SH SF,0,8244,,22,0,22,
defects4j,Collections,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,11,SH SF,0,10376,,0,22,22,
defects4j,Collections,12,SH SF,1,1884,4,3,0,4,
defects4j,Collections,13,SH SF,0,7569,,20,2,22,
defects4j,Collections,14,SH SF,0,11107,,0,22,22,
defects4j,Collections,15,SF,0,8218,,22,0,22,
defects4j,Collections,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,18,SF,0,10133,,17,5,22,
defects4j,Collections,19,SF,1,0,1,0,0,1,
defects4j,Collections,20,SF,0,10035,,22,0,22,
defects4j,Collections,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,22,SF,1,1703,2,1,0,2,
defects4j,Collections,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,24,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,25,SF,1,7687,9,6,2,9,
defects4j,Collections,26,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,27,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,28,BF,,,,,,,"Not SL, SH or SF bug. "
