framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Compress,1,SL SH SF,1,2387,4,0,3,4,
defects4j,Compress,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,5,SH SF,0,17630,,5,17,22,
defects4j,Compress,6,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,7,SF,1,617,1,0,0,1,
defects4j,Compress,8,SF,0,21346,,22,0,22,
defects4j,Compress,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,10,SF,1,12561,14,6,7,14,
defects4j,Compress,11,SF,1,13221,16,15,0,16,
defects4j,Compress,12,SH SF,1,0,1,0,0,1,
defects4j,Compress,13,SH SF,1,498,1,0,0,1,
defects4j,Compress,14,SH SF,1,884,1,0,0,1,
defects4j,Compress,15,SF,1,0,1,0,0,1,
defects4j,Compress,16,SF,0,27327,,17,5,22,
defects4j,Compress,17,SF,0,21430,,22,0,22,
defects4j,Compress,18,SF,0,28610,,12,10,22,
defects4j,Compress,19,SL SH SF,1,798,1,0,0,1,
defects4j,Compress,20,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,21,SF,1,0,1,0,0,1,
defects4j,Compress,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,23,SL SH SF,1,582,1,0,0,1,
defects4j,Compress,24,SF,1,1377,1,0,0,1,
defects4j,Compress,25,SL SH SF,0,6543,,18,4,22,
defects4j,Compress,26,SH SF,1,575,2,0,1,2,
defects4j,Compress,27,SH SF,1,1088,1,0,0,1,
defects4j,Compress,28,SF,1,0,1,0,0,1,
defects4j,Compress,29,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,30,SH SF,1,880,1,0,0,1,
defects4j,Compress,31,SH SF,1,0,1,0,0,1,
defects4j,Compress,32,SF,1,1352,1,0,0,1,
defects4j,Compress,33,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,34,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,35,SF,1,2306,3,2,0,3,
defects4j,Compress,36,SH SF,1,2909,6,1,4,6,
defects4j,Compress,37,SH SF,0,15002,,6,16,22,
defects4j,Compress,38,SL SH SF,1,5057,16,15,0,16,
defects4j,Compress,39,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,40,SF,0,22497,,22,0,22,
defects4j,Compress,41,SF,1,19166,8,7,0,8,
defects4j,Compress,42,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,43,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,44,SF,1,343,1,0,0,1,
defects4j,Compress,45,SF,1,3420,4,0,3,4,
defects4j,Compress,46,SH SF,1,1969,1,0,0,1,
defects4j,Compress,47,BF,,,,,,,"Not SL, SH or SF bug. "
