framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Gson,1,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,5,SL SH SF,1,3738,3,2,0,3,
defects4j,Gson,6,SF,0,19219,,0,22,22,
defects4j,Gson,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,10,SH SF,0,9291,,9,13,22,
defects4j,Gson,11,SL SH SF,1,423,1,0,0,1,
defects4j,Gson,12,SF,1,639,1,0,0,1,
defects4j,Gson,13,SL SH SF,1,7383,6,5,0,6,
defects4j,Gson,14,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,15,SL SH SF,1,1493,3,1,1,3,
defects4j,Gson,16,SF,1,0,1,0,0,1,
defects4j,Gson,17,SH SF,0,8839,,20,2,22,
defects4j,Gson,18,SF,1,10941,20,18,1,20,
