framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonCore,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,3,SF,1,5252,13,12,0,13,
defects4j,JacksonCore,4,SF,1,1175,4,3,0,4,
defects4j,JacksonCore,5,SL SH SF,1,509,1,0,0,1,
defects4j,JacksonCore,6,SH SF,1,610,1,0,0,1,
defects4j,JacksonCore,7,SH SF,1,1283,3,0,2,3,
defects4j,JacksonCore,8,SL SH SF,1,0,1,0,0,1,
defects4j,JacksonCore,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,11,SL SH SF,0,8176,,22,0,22,
defects4j,JacksonCore,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,13,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,14,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,15,SF,0,52921,,20,2,22,
defects4j,JacksonCore,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,20,SH SF,0,10822,,2,20,22,
defects4j,JacksonCore,21,SF,1,22971,11,6,4,11,
defects4j,JacksonCore,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,23,SH SF,1,464,1,0,0,1,
defects4j,JacksonCore,24,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,25,SL SH SF,1,0,1,0,0,1,
defects4j,JacksonCore,26,SL SH SF,0,7586,,21,1,22,
