framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonDatabind,1,SL SH SF,1,757,1,0,0,1,
defects4j,JacksonDatabind,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,5,SF,1,9704,14,9,4,14,
defects4j,JacksonDatabind,6,SF,0,34987,,22,0,22,
defects4j,JacksonDatabind,7,SF,0,8317,,21,1,22,
defects4j,JacksonDatabind,8,SF,0,13393,,21,1,22,
defects4j,JacksonDatabind,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,10,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,11,SF,0,21852,,21,1,22,
defects4j,JacksonDatabind,12,SH SF,1,0,1,0,0,1,
defects4j,JacksonDatabind,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,14,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,15,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,16,SL SH SF,1,658,3,2,0,3,
defects4j,JacksonDatabind,17,SL SH SF,0,8522,,22,0,22,
defects4j,JacksonDatabind,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,19,SH SF,0,8948,,0,22,22,
defects4j,JacksonDatabind,20,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,24,SF,0,7285,,22,0,22,
defects4j,JacksonDatabind,25,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,26,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,27,SL SH SF,1,1306,1,0,0,1,
defects4j,JacksonDatabind,28,SF,0,16183,,0,22,22,
defects4j,JacksonDatabind,29,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,31,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,32,BF,,,,,,,"Not SL, SH or SF bug. "
