framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Jsoup,1,SH SF,1,595,1,0,0,1,
defects4j,Jsoup,2,SL SH SF,0,12529,,14,8,22,
defects4j,Jsoup,3,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,5,SH SF,1,0,1,0,0,1,
defects4j,Jsoup,6,SF,1,995,2,1,0,2,
defects4j,Jsoup,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,10,SH SF,1,702,1,0,0,1,
defects4j,Jsoup,11,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,12,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,13,SH SF,1,0,2,1,0,2,
defects4j,Jsoup,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,15,SL SH SF,1,10693,2,1,0,2,
defects4j,Jsoup,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,19,SH SF,1,4211,7,4,2,7,
defects4j,Jsoup,20,SH SF,1,1998,2,1,0,2,
defects4j,Jsoup,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,23,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,24,SL SH SF,1,639,3,2,0,3,
defects4j,Jsoup,25,SL SH SF,1,1289,1,0,0,1,
defects4j,Jsoup,26,SL SH SF,1,528,1,0,0,1,
defects4j,Jsoup,27,SF,0,6374,,22,0,22,
defects4j,Jsoup,28,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,29,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,30,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,32,SL SH SF,1,4614,9,5,3,9,
defects4j,Jsoup,33,SL SH SF,0,12394,,18,4,22,
defects4j,Jsoup,34,SL SH SF,1,702,1,0,0,1,
defects4j,Jsoup,35,SL SH SF,0,79832,,0,22,22,
defects4j,Jsoup,36,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,37,SL SH SF,0,5220,,22,0,22,
defects4j,Jsoup,38,SF,1,50553,6,1,4,6,
