framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JxPath,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,5,SH SF,1,826,1,0,0,1,
defects4j,JxPath,6,SF,0,14855,,20,2,22,
defects4j,JxPath,7,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,8,SF,1,0,1,0,0,1,
defects4j,JxPath,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,10,SL SH SF,0,6924,,7,15,22,
defects4j,JxPath,11,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,12,SH SF,1,5175,8,7,0,8,
defects4j,JxPath,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,14,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,20,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,21,SH SF,0,7089,,12,10,22,
defects4j,JxPath,22,SF,0,7831,,22,0,22,
