framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Math,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,2,SL SH SF,1,0,1,0,0,1,
defects4j,Math,3,SF,1,1536,1,0,0,1,
defects4j,Math,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,5,SL SH SF,1,489,1,0,0,1,
defects4j,Math,6,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,7,SF,0,18102,,0,22,22,
defects4j,Math,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,9,SH SF,0,9953,,10,12,22,
defects4j,Math,10,SL SH SF,0,15725,,22,0,22,
defects4j,Math,11,SL SH SF,1,593,1,0,0,1,
defects4j,Math,12,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,13,SF,0,17051,,4,18,22,
defects4j,Math,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,17,SF,1,3454,3,2,0,3,
defects4j,Math,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,19,SH SF,1,1132,1,0,0,1,
defects4j,Math,20,SH SF,1,1278,3,2,0,3,
defects4j,Math,21,SF,0,28860,,22,0,22,
defects4j,Math,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,23,SF,1,0,1,0,0,1,
defects4j,Math,24,SF,1,5317,4,0,3,4,
defects4j,Math,25,SF,1,5392,5,4,0,5,
defects4j,Math,26,SF,1,0,1,0,0,1,
defects4j,Math,27,SL SH SF,1,448,1,0,0,1,
defects4j,Math,28,SF,1,9346,6,5,0,6,
defects4j,Math,29,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,30,SL SH SF,1,580,1,0,0,1,
defects4j,Math,31,SF,0,24705,,17,5,22,
defects4j,Math,32,SL SH SF,1,6785,4,3,0,4,
defects4j,Math,33,SL SH SF,1,0,1,0,0,1,
defects4j,Math,34,SL SH SF,1,466,1,0,0,1,
defects4j,Math,35,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,36,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,37,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,38,SF,0,49914,,18,4,22,
defects4j,Math,39,SH SF,1,0,1,0,0,1,
defects4j,Math,40,SF,0,77726,,19,3,22,
defects4j,Math,41,SL SH SF,1,595,1,0,0,1,
defects4j,Math,42,SF,1,4581,6,5,0,6,
defects4j,Math,43,SF,0,11881,,22,0,22,
defects4j,Math,44,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,45,SH SF,1,0,1,0,0,1,
defects4j,Math,46,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,47,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,48,SH SF,1,1391,1,0,0,1,
defects4j,Math,49,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,50,SH SF,1,7215,7,0,6,7,
defects4j,Math,51,SF,0,29904,,21,1,22,
defects4j,Math,52,SF,0,33579,,4,18,22,
defects4j,Math,53,SH SF,1,511,1,0,0,1,
defects4j,Math,54,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,55,SF,0,20788,,22,0,22,
defects4j,Math,56,SH SF,1,6001,5,1,3,5,
defects4j,Math,57,SL SH SF,1,1599,1,0,0,1,
defects4j,Math,58,SL SH SF,1,18962,22,12,9,22,
defects4j,Math,59,SL SH SF,1,778,1,0,0,1,
defects4j,Math,60,SF,0,21497,,22,0,22,
defects4j,Math,61,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,62,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,63,SL SH SF,1,605,1,0,0,1,
defects4j,Math,64,SF,0,96173,,15,7,22,
defects4j,Math,65,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,66,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,67,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,68,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,69,SL SH SF,1,697,1,0,0,1,
defects4j,Math,70,SL SH SF,1,418,1,0,0,1,
defects4j,Math,71,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,72,SF,1,1145,1,0,0,1,
defects4j,Math,73,SH SF,1,931,1,0,0,1,
defects4j,Math,74,SF,0,71237,,8,14,22,
defects4j,Math,75,SL SH SF,1,727,1,0,0,1,
defects4j,Math,76,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,77,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,78,SF,1,7291,3,2,0,3,
defects4j,Math,79,SF,1,1393,2,1,0,2,
