framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Mockito,1,SH SF,0,16052,,17,5,22,
defects4j,Mockito,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,5,SL SH SF,0,9000,,1,21,22,
defects4j,Mockito,6,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,7,SL SH SF,0,7797,,13,9,22,
defects4j,Mockito,8,SL SH SF,0,10766,,22,0,22,
defects4j,Mockito,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,11,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,12,SF,1,625,1,0,0,1,
defects4j,Mockito,13,SF,1,1467,1,0,0,1,
defects4j,Mockito,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,0,17071,,0,22,22,
defects4j,Mockito,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,0,24126,,12,10,22,
defects4j,Mockito,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,22,SH SF,1,634,1,0,0,1,
defects4j,Mockito,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,24,SL SH SF,1,6025,10,0,9,10,
defects4j,Mockito,25,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,26,SL SH SF,1,803,1,0,0,1,
defects4j,Mockito,27,SH SF,0,13695,,1,21,22,
defects4j,Mockito,28,SH SF,0,12645,,0,22,22,
defects4j,Mockito,29,SL SH SF,1,410,1,0,0,1,
defects4j,Mockito,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,31,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,32,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,33,SF,0,10251,,1,21,22,
defects4j,Mockito,34,SL SH SF,1,482,1,0,0,1,
defects4j,Mockito,35,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,36,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,37,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,38,SL SH SF,1,414,1,0,0,1,
