project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,3,Chart_3_0.diff
Chart,4,Chart_4_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_0.diff
Chart,13,Chart_13_0.diff
Chart,20,Chart_20_0.diff
Chart,24,Chart_24_0.diff
Chart,26,Chart_26_0.diff
Cli,5,Cli_5_0.diff
Cli,8,Cli_8_0.diff
Cli,9,Cli_9_0.diff
Cli,11,Cli_11_0.diff
Cli,12,Cli_12_0.diff
Cli,14,Cli_14_0.diff
Cli,24,Cli_24_0.diff
Cli,25,Cli_25_0.diff
Cli,28,Cli_28_0.diff
Cli,32,Cli_32_0.diff
Cli,40,Cli_40_0.diff
Closure,5,Closure_5_0.diff
Closure,7,Closure_7_0.diff
Closure,10,Closure_10_0.diff
Closure,13,Closure_13_0.diff
Closure,14,Closure_14_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,31,Closure_31_0.diff
Closure,36,Closure_36_0.diff
Closure,38,Closure_38_0.diff
Closure,44,Closure_44_0.diff
Closure,56,Closure_56_0.diff
Closure,57,Closure_57_0.diff
Closure,58,Closure_58_0.diff
Closure,59,Closure_59_0.diff
Closure,61,Closure_61_0.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,70,Closure_70_0.diff
Closure,73,Closure_73_0.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,83,Closure_83_0.diff
Closure,86,Closure_86_0.diff
Closure,92,Closure_92_0.diff
Closure,97,Closure_97_0.diff
Closure,101,Closure_101_0.diff
Closure,123,Closure_123_0.diff
Closure,125,Closure_125_0.diff
Closure,126,Closure_126_0.diff
Closure,128,Closure_128_0.diff
Closure,129,Closure_129_0.diff
Closure,152,Closure_152_0.diff
Closure,168,Closure_168_0.diff
Codec,3,Codec_3_0.diff
Codec,6,Codec_6_0.diff
Codec,7,Codec_7_0.diff
Codec,17,Codec_17_0.diff
Codec,18,Codec_18_0.diff
Collections,3,Collections_3_0.diff
Collections,6,Collections_6_0.diff
Compress,1,Compress_1_0.diff
Compress,7,Compress_7_0.diff
Compress,11,Compress_11_0.diff
Compress,12,Compress_12_0.diff
Compress,19,Compress_19_0.diff
Compress,21,Compress_21_0.diff
Compress,27,Compress_27_0.diff
Compress,30,Compress_30_0.diff
Compress,32,Compress_32_0.diff
Compress,38,Compress_38_0.diff
Compress,41,Compress_41_0.diff
Compress,44,Compress_44_0.diff
Compress,45,Compress_45_0.diff
Csv,2,Csv_2_0.diff
Csv,4,Csv_4_0.diff
Csv,5,Csv_5_0.diff
Csv,11,Csv_11_0.diff
Gson,11,Gson_11_0.diff
Gson,15,Gson_15_0.diff
Gson,16,Gson_16_0.diff
JacksonCore,3,JacksonCore_3_0.diff
JacksonCore,5,JacksonCore_5_0.diff
JacksonCore,7,JacksonCore_7_0.diff
JacksonCore,8,JacksonCore_8_0.diff
JacksonCore,23,JacksonCore_23_0.diff
