project,bug,file_name
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,1,Chart_1_0.diff
Chart,24,Chart_24_0.diff
Chart,11,Chart_11_0.diff
Chart,20,Chart_20_0.diff
Chart,26,Chart_26_0.diff
Cli,8,Cli_8_0.diff
Cli,5,Cli_5_0.diff
Cli,11,Cli_11_0.diff
Cli,28,Cli_28_0.diff
Cli,25,Cli_25_0.diff
Cli,24,Cli_24_0.diff
Cli,40,Cli_40_0.diff
Closure,5,Closure_5_0.diff
Closure,14,Closure_14_0.diff
Closure,10,Closure_10_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,58,Closure_58_0.diff
Closure,44,Closure_44_0.diff
