framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,1,690,1,0,0,1,
defects4j,Chart,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,1,1435,2,1,0,2,
defects4j,Chart,4,SF,1,1818,1,0,0,1,
defects4j,Chart,5,SF,1,7631,7,6,0,7,
defects4j,Chart,6,SH SF,0,12807,,2,20,22,
defects4j,Chart,7,SF,1,1524,1,0,0,1,
defects4j,Chart,8,SL SH SF,1,695,1,0,0,1,
defects4j,Chart,9,SL SH SF,1,751,1,0,0,1,
defects4j,Chart,10,SL SH SF,1,473,1,0,0,1,
defects4j,Chart,11,SL SH SF,1,1512,1,0,0,1,
defects4j,Chart,12,SL SH SF,1,537,1,0,0,1,
defects4j,Chart,13,SL SH SF,1,14106,3,2,0,3,
defects4j,Chart,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,1,488,1,0,0,1,
defects4j,Chart,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,1,529,1,0,0,1,
defects4j,Chart,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,13790,,0,22,22,
defects4j,Chart,24,SL SH SF,0,11902,,0,22,22,
defects4j,Chart,25,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,1,2786,1,0,0,1,
