framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,1,3361,5,0,4,5,
defects4j,Closure,2,SF,1,1216,1,0,0,1,
defects4j,Closure,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,17320,,22,0,22,
defects4j,Closure,5,SH SF,1,1143,1,0,0,1,
defects4j,Closure,6,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,1,5545,12,11,0,12,
defects4j,Closure,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,1,439,1,0,0,1,
defects4j,Closure,11,SH SF,1,1743,3,2,0,3,
defects4j,Closure,12,SH SF,0,9276,,5,17,22,
defects4j,Closure,13,SF,1,1879,2,0,1,2,
defects4j,Closure,14,SL SH SF,0,27337,,21,1,22,
defects4j,Closure,15,SH SF,0,12745,,8,14,22,
defects4j,Closure,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,1,1399,1,0,0,1,
defects4j,Closure,19,SF,1,700,1,0,0,1,
defects4j,Closure,20,SH SF,0,13094,,22,0,22,
defects4j,Closure,21,SF,0,43243,,18,4,22,
defects4j,Closure,22,SF,0,46148,,17,5,22,
defects4j,Closure,23,SF,0,25080,,21,1,22,
defects4j,Closure,24,SF,0,17673,,22,0,22,
defects4j,Closure,25,SF,0,20586,,2,20,22,
defects4j,Closure,26,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,46600,,22,0,22,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,1,1602,1,0,0,1,
defects4j,Closure,32,SF,0,34432,,22,0,22,
defects4j,Closure,33,SH SF,0,20633,,0,22,22,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,18823,,2,20,22,
defects4j,Closure,36,SH SF,1,1958,2,0,1,2,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,1,600,1,0,0,1,
defects4j,Closure,39,SF,0,21593,,4,18,22,
