framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,13142,,22,0,22,
defects4j,Collections,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,3,SL SH SF,1,5166,9,3,5,9,
defects4j,Collections,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,5,SF,0,16143,,22,0,22,
defects4j,Collections,6,SF,1,2216,1,0,0,1,
defects4j,Collections,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,9,SL SH SF,0,10934,,22,0,22,
defects4j,Collections,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,11,SH SF,0,14804,,2,20,22,
defects4j,Collections,12,SH SF,1,1058,2,1,0,2,
defects4j,Collections,13,SH SF,0,10242,,22,0,22,
defects4j,Collections,14,SH SF,0,13398,,0,22,22,
defects4j,Collections,15,SF,0,13485,,21,1,22,
defects4j,Collections,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,18,SF,0,13409,,12,10,22,
defects4j,Collections,19,SF,0,12679,,21,1,22,
defects4j,Collections,20,SF,0,13688,,21,1,22,
defects4j,Collections,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,22,SF,1,859,1,0,0,1,
defects4j,Collections,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,24,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,25,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,26,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,27,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Collections,28,BF,,,,,,,"Not SL, SH or SF bug. "
