framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonCore,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,3,SF,0,15927,,22,0,22,
defects4j,JacksonCore,4,SF,1,590,1,0,0,1,
defects4j,JacksonCore,5,SL SH SF,1,515,1,0,0,1,
defects4j,JacksonCore,6,SH SF,1,1731,3,2,0,3,
defects4j,JacksonCore,7,SH SF,0,12178,,20,2,22,
defects4j,JacksonCore,8,SL SH SF,1,5348,11,10,0,11,
defects4j,JacksonCore,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,11,SL SH SF,0,10007,,18,4,22,
defects4j,JacksonCore,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,13,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,14,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,15,SF,1,18632,6,5,0,6,
defects4j,JacksonCore,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,20,SH SF,0,11560,,0,22,22,
defects4j,JacksonCore,21,SF,0,82153,,0,22,22,
defects4j,JacksonCore,22,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,23,SH SF,1,415,1,0,0,1,
defects4j,JacksonCore,24,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,25,SL SH SF,1,814,1,0,0,1,
defects4j,JacksonCore,26,SL SH SF,0,18596,,19,3,22,
