framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Jsoup,1,SH SF,1,1035,2,0,1,2,
defects4j,Jsoup,2,SL SH SF,1,1791,2,1,0,2,
defects4j,Jsoup,3,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,5,SH SF,1,5757,9,4,4,9,
defects4j,Jsoup,6,SF,1,17049,19,0,18,19,
defects4j,Jsoup,7,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,10,SH SF,1,659,1,0,0,1,
defects4j,Jsoup,11,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,12,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,13,SH SF,1,8926,17,16,0,17,
defects4j,Jsoup,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,15,SL SH SF,1,10483,2,1,0,2,
defects4j,Jsoup,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,17,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,19,SH SF,1,580,1,0,0,1,
defects4j,Jsoup,20,SH SF,1,865,1,0,0,1,
defects4j,Jsoup,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,23,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,24,SL SH SF,1,1253,2,1,0,2,
defects4j,Jsoup,25,SL SH SF,1,1261,1,0,0,1,
defects4j,Jsoup,26,SL SH SF,0,10699,,11,11,22,
defects4j,Jsoup,27,SF,0,11686,,22,0,22,
defects4j,Jsoup,28,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,29,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,30,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,32,SL SH SF,0,11256,,15,7,22,
defects4j,Jsoup,33,SL SH SF,1,17152,20,16,3,20,
defects4j,Jsoup,34,SL SH SF,1,718,1,0,0,1,
defects4j,Jsoup,35,SL SH SF,0,113987,,0,22,22,
defects4j,Jsoup,36,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,37,SL SH SF,0,9746,,22,0,22,
defects4j,Jsoup,38,SF,1,152992,17,13,3,17,
defects4j,Jsoup,39,SL SH SF,1,1973,2,1,0,2,
defects4j,Jsoup,40,SL SH SF,1,389,1,0,0,1,
defects4j,Jsoup,41,SL SH SF,1,959,1,0,0,1,
defects4j,Jsoup,42,SF,1,9212,8,7,0,8,
defects4j,Jsoup,43,SL SH SF,1,482,1,0,0,1,
defects4j,Jsoup,44,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,45,SL SH SF,1,842,1,0,0,1,
defects4j,Jsoup,46,SL SH SF,1,1065,1,0,0,1,
defects4j,Jsoup,47,SL SH SF,1,1085,1,0,0,1,
defects4j,Jsoup,48,SF,1,807,1,0,0,1,
defects4j,Jsoup,49,SF,0,13888,,22,0,22,
defects4j,Jsoup,50,SF,0,39429,,19,3,22,
defects4j,Jsoup,51,SL SH SF,0,44470,,0,22,22,
defects4j,Jsoup,52,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,53,SF,0,15492,,22,0,22,
defects4j,Jsoup,54,SL SH SF,1,1663,3,0,2,3,
defects4j,Jsoup,55,SL SH SF,1,523,1,0,0,1,
defects4j,Jsoup,56,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,57,SL SH SF,1,470,1,0,0,1,
defects4j,Jsoup,58,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,59,SF,1,868,1,0,0,1,
defects4j,Jsoup,60,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,61,SL SH SF,1,9851,13,10,2,13,
defects4j,Jsoup,62,SL SH SF,1,1398,3,0,2,3,
defects4j,Jsoup,63,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,64,SF,0,11303,,13,9,22,
defects4j,Jsoup,65,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,66,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,67,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,68,SH SF,1,618,1,0,0,1,
defects4j,Jsoup,69,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,70,SF,1,518,1,0,0,1,
defects4j,Jsoup,71,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,72,SH SF,1,7204,11,10,0,11,
defects4j,Jsoup,73,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,74,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,75,SH SF,0,13364,,22,0,22,
defects4j,Jsoup,76,SL SH SF,0,106485,,4,18,22,
defects4j,Jsoup,77,SL SH SF,1,557,1,0,0,1,
defects4j,Jsoup,78,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,79,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,80,SF,1,823,1,0,0,1,
defects4j,Jsoup,81,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,82,SF,1,2152,1,0,0,1,
defects4j,Jsoup,83,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,84,SH SF,0,18239,,21,1,22,
defects4j,Jsoup,85,SF,1,370,1,0,0,1,
defects4j,Jsoup,86,SL SH SF,1,536,1,0,0,1,
defects4j,Jsoup,87,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,88,SL SH SF,1,395,1,0,0,1,
defects4j,Jsoup,89,SF,1,559,1,0,0,1,
defects4j,Jsoup,90,SH SF,1,652,1,0,0,1,
defects4j,Jsoup,91,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,92,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,93,SL SH SF,1,1958,2,1,0,2,
