framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Math,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,2,SL SH SF,1,1412,3,2,0,3,
defects4j,Math,3,SF,1,1525,1,0,0,1,
defects4j,Math,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,5,SL SH SF,1,501,1,0,0,1,
defects4j,Math,6,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,7,SF,0,24411,,0,22,22,
defects4j,Math,8,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,9,SH SF,0,10499,,12,10,22,
defects4j,Math,10,SL SH SF,1,5209,4,3,0,4,
defects4j,Math,11,SL SH SF,1,591,1,0,0,1,
defects4j,Math,12,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,13,SF,0,22153,,6,16,22,
defects4j,Math,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,16,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,17,SF,1,3135,2,0,1,2,
defects4j,Math,18,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,19,SH SF,1,2127,2,0,1,2,
defects4j,Math,20,SH SF,0,12104,,1,21,22,
defects4j,Math,21,SF,0,52140,,22,0,22,
defects4j,Math,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,23,SF,1,5576,2,1,0,2,
defects4j,Math,24,SF,0,58098,,22,0,22,
defects4j,Math,25,SF,1,19255,10,9,0,10,
defects4j,Math,26,SF,1,11490,9,8,0,9,
defects4j,Math,27,SL SH SF,1,452,1,0,0,1,
defects4j,Math,28,SF,1,66381,22,20,1,22,
defects4j,Math,29,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,30,SL SH SF,1,591,1,0,0,1,
defects4j,Math,31,SF,0,39224,,17,5,22,
defects4j,Math,32,SL SH SF,1,1647,1,0,0,1,
defects4j,Math,33,SL SH SF,1,932,1,0,0,1,
defects4j,Math,34,SL SH SF,1,533,1,0,0,1,
defects4j,Math,35,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,36,BF,,,,,,,"Not SL, SH or SF bug. "
