framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Mockito,1,SH SF,1,660,1,0,0,1,
defects4j,Mockito,2,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,3,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,4,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,5,SL SH SF,0,8946,,12,10,22,
defects4j,Mockito,6,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,7,SL SH SF,0,6995,,2,20,22,
defects4j,Mockito,8,SL SH SF,0,10802,,22,0,22,
defects4j,Mockito,9,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,10,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,11,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,12,SF,1,604,1,0,0,1,
defects4j,Mockito,13,SF,1,1373,1,0,0,1,
defects4j,Mockito,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,15,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,0,14351,,0,22,22,
defects4j,Mockito,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,0,20294,,19,3,22,
defects4j,Mockito,21,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,22,SH SF,0,13809,,1,21,22,
defects4j,Mockito,23,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,24,SL SH SF,1,606,1,0,0,1,
defects4j,Mockito,25,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,26,SL SH SF,1,790,1,0,0,1,
defects4j,Mockito,27,SH SF,0,11234,,1,21,22,
defects4j,Mockito,28,SH SF,0,10663,,4,18,22,
defects4j,Mockito,29,SL SH SF,1,412,1,0,0,1,
defects4j,Mockito,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,31,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,32,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,33,SF,0,9819,,3,19,22,
defects4j,Mockito,34,SL SH SF,1,471,1,0,0,1,
defects4j,Mockito,35,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,36,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,37,BF,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,38,SL SH SF,1,427,1,0,0,1,
