project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,3,Chart_3_0.diff
Chart,4,Chart_4_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_0.diff
Chart,13,Chart_13_0.diff
Chart,20,Chart_20_0.diff
Chart,26,Chart_26_0.diff
Cli,5,Cli_5_0.diff
Cli,8,Cli_8_0.diff
Cli,9,Cli_9_0.diff
Cli,11,Cli_11_0.diff
Cli,17,Cli_17_0.diff
Cli,24,Cli_24_0.diff
Cli,28,Cli_28_0.diff
Cli,35,Cli_35_0.diff
Cli,40,Cli_40_0.diff
Closure,1,Closure_1_0.diff
Closure,13,Closure_13_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,36,Closure_36_0.diff
Closure,38,Closure_38_0.diff
Closure,44,Closure_44_0.diff
Closure,52,Closure_52_0.diff
Closure,53,Closure_53_0.diff
Closure,56,Closure_56_0.diff
Closure,57,Closure_57_0.diff
Closure,59,Closure_59_0.diff
Closure,61,Closure_61_0.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,70,Closure_70_0.diff
Closure,73,Closure_73_0.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,86,Closure_86_0.diff
Closure,92,Closure_92_0.diff
Closure,101,Closure_101_0.diff
Closure,102,Closure_102_0.diff
Closure,119,Closure_119_0.diff
Closure,123,Closure_123_0.diff
Closure,125,Closure_125_0.diff
Closure,126,Closure_126_0.diff
Closure,128,Closure_128_0.diff
Closure,129,Closure_129_0.diff
Closure,152,Closure_152_0.diff
Closure,168,Closure_168_0.diff
Codec,2,Codec_2_0.diff
Codec,3,Codec_3_0.diff
Codec,7,Codec_7_0.diff
Codec,9,Codec_9_0.diff
Codec,10,Codec_10_0.diff
Codec,17,Codec_17_0.diff
Codec,18,Codec_18_0.diff
Collections,3,Collections_3_0.diff
Collections,22,Collections_22_0.diff
Compress,7,Compress_7_0.diff
Compress,12,Compress_12_0.diff
Compress,14,Compress_14_0.diff
Compress,19,Compress_19_0.diff
Compress,21,Compress_21_0.diff
Compress,23,Compress_23_0.diff
Compress,27,Compress_27_0.diff
Compress,30,Compress_30_0.diff
Compress,31,Compress_31_0.diff
Compress,44,Compress_44_0.diff
Compress,45,Compress_45_0.diff
Csv,4,Csv_4_0.diff
Csv,5,Csv_5_0.diff
Csv,9,Csv_9_0.diff
Csv,10,Csv_10_0.diff
Csv,11,Csv_11_0.diff
Gson,11,Gson_11_0.diff
Gson,12,Gson_12_0.diff
Gson,15,Gson_15_0.diff
Gson,16,Gson_16_0.diff
JacksonCore,5,JacksonCore_5_0.diff
JacksonCore,6,JacksonCore_6_0.diff
JacksonCore,23,JacksonCore_23_0.diff
JacksonCore,25,JacksonCore_25_0.diff
JacksonDatabind,1,JacksonDatabind_1_0.diff
JacksonDatabind,12,JacksonDatabind_12_0.diff
JacksonDatabind,16,JacksonDatabind_16_0.diff
