project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,3,Chart_3_0.diff
Chart,4,Chart_4_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_0.diff
Chart,20,Chart_20_0.diff
Cli,5,Cli_5_0.diff
Cli,8,Cli_8_0.diff
Cli,17,Cli_17_0.diff
Cli,24,Cli_24_0.diff
Cli,28,Cli_28_0.diff
Closure,1,Closure_1_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,36,Closure_36_0.diff
Closure,38,Closure_38_0.diff
Closure,52,Closure_52_0.diff
Closure,57,Closure_57_0.diff
Closure,59,Closure_59_0.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,70,Closure_70_0.diff
Closure,73,Closure_73_0.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,86,Closure_86_0.diff
Closure,92,Closure_92_0.diff
Closure,101,Closure_101_0.diff
Closure,102,Closure_102_0.diff
Closure,119,Closure_119_0.diff
Closure,123,Closure_123_0.diff
Closure,129,Closure_129_0.diff
Closure,168,Closure_168_0.diff
Codec,2,Codec_2_0.diff
Codec,3,Codec_3_0.diff
Codec,9,Codec_9_0.diff
Codec,10,Codec_10_0.diff
Codec,18,Codec_18_0.diff
Compress,14,Compress_14_0.diff
Compress,19,Compress_19_0.diff
Compress,30,Compress_30_0.diff
Compress,45,Compress_45_0.diff
Csv,5,Csv_5_0.diff
Csv,11,Csv_11_0.diff
Gson,11,Gson_11_0.diff
Gson,15,Gson_15_0.diff
JacksonCore,5,JacksonCore_5_0.diff
JacksonCore,25,JacksonCore_25_0.diff
JacksonDatabind,1,JacksonDatabind_1_0.diff
JacksonDatabind,16,JacksonDatabind_16_0.diff
JacksonDatabind,34,JacksonDatabind_34_0.diff
JacksonDatabind,42,JacksonDatabind_42_0.diff
JacksonDatabind,49,JacksonDatabind_49_0.diff
JacksonDatabind,57,JacksonDatabind_57_0.diff
JacksonDatabind,82,JacksonDatabind_82_0.diff
JacksonDatabind,97,JacksonDatabind_97_0.diff
JacksonDatabind,99,JacksonDatabind_99_0.diff
Jsoup,10,Jsoup_10_0.diff
Jsoup,25,Jsoup_25_0.diff
Jsoup,33,Jsoup_33_0.diff
Jsoup,34,Jsoup_34_0.diff
Jsoup,43,Jsoup_43_0.diff
Jsoup,46,Jsoup_46_0.diff
Jsoup,47,Jsoup_47_0.diff
Jsoup,55,Jsoup_55_0.diff
Jsoup,57,Jsoup_57_0.diff
Jsoup,61,Jsoup_61_0.diff
Jsoup,62,Jsoup_62_0.diff
Jsoup,77,Jsoup_77_0.diff
Jsoup,85,Jsoup_85_0.diff
Jsoup,86,Jsoup_86_0.diff
Jsoup,90,Jsoup_90_0.diff
Lang,21,Lang_21_0.diff
Lang,24,Lang_24_0.diff
Lang,26,Lang_26_0.diff
Lang,39,Lang_39_0.diff
Lang,44,Lang_44_0.diff
Lang,45,Lang_45_0.diff
Lang,51,Lang_51_0.diff
Lang,52,Lang_52_0.diff
Lang,59,Lang_59_0.diff
Lang,61,Lang_61_0.diff
Math,10,Math_10_0.diff
Math,33,Math_33_0.diff
Math,41,Math_41_0.diff
Math,48,Math_48_0.diff
Math,56,Math_56_0.diff
Math,70,Math_70_0.diff
Math,72,Math_72_0.diff
Math,82,Math_82_0.diff
Math,94,Math_94_0.diff
Math,105,Math_105_0.diff
Mockito,26,Mockito_26_0.diff
Mockito,29,Mockito_29_0.diff
Mockito,38,Mockito_38_0.diff
Time,4,Time_4_0.diff
Time,15,Time_15_0.diff
