framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,2,10736,6,0,3,4,
defects4j,Chart,2,BF,,,,,,,Out of limited tokens.
defects4j,Chart,3,SH SF,3,12738,7,2,2,7,
defects4j,Chart,4,SF,7,29782,8,0,4,9,
defects4j,Chart,5,SF,6,19295,7,2,0,10,
defects4j,Chart,6,SH SF,2,19072,17,6,10,18,
defects4j,Chart,7,SF,8,25707,7,0,0,8,
defects4j,Chart,8,SL SH SF,4,12433,6,2,0,8,
defects4j,Chart,9,SL SH SF,3,11950,6,0,1,3,
defects4j,Chart,10,SL SH SF,2,7885,5,0,5,4,
defects4j,Chart,11,SL SH SF,4,17715,5,0,1,5,
defects4j,Chart,12,SL SH SF,2,7493,5,2,1,6,
defects4j,Chart,13,SL SH SF,3,52228,7,0,0,3,
defects4j,Chart,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,BF,,,,,,,Out of limited tokens.
defects4j,Chart,16,BF,,,,,,,Out of limited tokens.
defects4j,Chart,17,SH SF,1,8774,6,2,2,6,
defects4j,Chart,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,BF,,,,,,,Out of limited tokens.
defects4j,Chart,20,SL SH SF,3,7274,5,1,0,5,
defects4j,Chart,21,BF,,,,,,,Out of limited tokens.
defects4j,Chart,22,BF,,,,,,,Out of limited tokens.
defects4j,Chart,23,SH SF,0,681927,,6,234,204,
defects4j,Chart,24,SL SH SF,8,18437,15,0,5,12,
defects4j,Chart,25,BF,,,,,,,Out of limited tokens.
defects4j,Chart,26,SF,4,35132,6,1,1,7,
