framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Cli,1,BF,9,61217,6,2,3,13,
defects4j,Cli,2,SF,2,164722,122,47,19,319,
defects4j,Cli,3,SH SF,7,11569,8,1,1,10,
defects4j,Cli,4,SH SF,1,10184,7,1,0,3,
defects4j,Cli,5,SH SF,4,6410,5,1,3,9,
defects4j,Cli,7,BF,3,34517,6,1,1,6,
defects4j,Cli,8,SL SH SF,2,14329,9,5,0,12,
defects4j,Cli,9,SF,3,11430,6,4,0,11,
defects4j,Cli,10,BF,,,,,,,Out of limited tokens.
defects4j,Cli,11,SL SH SF,1,9040,5,2,0,5,
defects4j,Cli,12,SF,5,27427,12,6,2,17,
defects4j,Cli,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,14,SF,4,43078,12,2,18,19,
defects4j,Cli,15,SF,4,21030,14,9,1,22,
defects4j,Cli,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,17,SL SH SF,2,10019,5,3,0,8,
defects4j,Cli,18,BF,,,,,,,Out of limited tokens.
defects4j,Cli,19,SF,1,83894,86,2,58,43,
defects4j,Cli,20,SF,0,444633,,98,31,1311,
defects4j,Cli,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,22,BF,,,,,,,Out of limited tokens.
defects4j,Cli,23,BF,,,,,,,Out of limited tokens.
defects4j,Cli,24,SH SF,6,18483,8,3,0,12,
defects4j,Cli,25,SL SH SF,8,19272,15,8,0,24,
defects4j,Cli,26,SF,2,19440,17,12,2,28,
defects4j,Cli,27,SF,4,51242,37,11,1,49,
defects4j,Cli,28,SL SH SF,1,13527,6,2,2,7,
defects4j,Cli,29,SF,4,24277,22,12,0,33,
defects4j,Cli,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,32,SH SF,1,22507,13,5,9,14,
defects4j,Cli,33,BF,,,,,,,Out of limited tokens.
defects4j,Cli,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,35,SH SF,4,11347,7,0,2,5,
defects4j,Cli,36,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,37,SF,10,14424,8,1,0,12,
defects4j,Cli,38,SF,1,10320,6,7,1,16,
defects4j,Cli,39,BF,12,86908,8,1,6,14,
defects4j,Cli,40,SL SH SF,6,10905,6,1,0,8,
