framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,1,86576,50,0,48,25,
defects4j,Closure,2,SF,5,16375,7,1,4,11,
defects4j,Closure,3,BF,,,,,,,Out of limited tokens.
defects4j,Closure,4,SF,0,381167,,77,69,1104,
defects4j,Closure,5,SH SF,5,17811,6,1,1,8,
defects4j,Closure,6,BF,,,,,,,Out of limited tokens.
defects4j,Closure,7,SF,5,11177,7,5,0,15,
defects4j,Closure,8,BF,5,78985,11,1,7,12,
defects4j,Closure,9,BF,,,,,,,Out of limited tokens.
defects4j,Closure,10,SL SH SF,5,8663,6,1,3,10,
defects4j,Closure,11,SH SF,1,83986,63,18,25,72,
defects4j,Closure,12,SH SF,3,15304,10,3,7,14,
defects4j,Closure,13,SF,1,50347,35,14,14,42,
defects4j,Closure,14,SL SH SF,1,25679,10,3,2,7,
defects4j,Closure,15,SH SF,2,39370,32,12,16,41,
defects4j,Closure,16,BF,,,,,,,Out of limited tokens.
defects4j,Closure,17,BF,,,,,,,Out of limited tokens.
defects4j,Closure,18,SL SH SF,2,21308,7,2,0,6,
defects4j,Closure,19,SF,6,14309,7,1,2,9,
defects4j,Closure,20,SH SF,1,111997,84,16,1,99,
defects4j,Closure,21,SF,1,95114,31,18,0,46,
defects4j,Closure,22,SF,1,464223,146,54,5,487,
defects4j,Closure,23,SF,0,495758,,167,1,2265,
defects4j,Closure,24,SF,0,416529,,117,26,1579,
defects4j,Closure,25,SF,0,553501,,69,147,998,
defects4j,Closure,26,BF,,,,,,,Out of limited tokens.
defects4j,Closure,27,BF,,,,,,,Out of limited tokens.
defects4j,Closure,28,BF,2,36063,12,8,4,19,
defects4j,Closure,29,SF,0,1080690,,182,139,2259,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,3,19495,5,2,1,8,
defects4j,Closure,32,SF,0,913760,,224,27,3212,
defects4j,Closure,33,SH SF,2,21926,12,0,6,7,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,877414,,53,301,971,
defects4j,Closure,36,SH SF,2,14525,6,0,1,2,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,4,9350,5,2,0,8,
defects4j,Closure,39,SF,0,334072,,20,104,387,
defects4j,Closure,40,SF,1,107067,56,35,5,114,
defects4j,Closure,41,BF,,,,,,,Out of limited tokens.
defects4j,Closure,42,SF,1,40180,18,0,16,8,
defects4j,Closure,43,BF,,,,,,,Out of limited tokens.
defects4j,Closure,44,SF,5,10089,6,4,0,13,
defects4j,Closure,45,BF,,,,,,,Out of limited tokens.
defects4j,Closure,46,BF,,,,,,,Out of limited tokens.
defects4j,Closure,47,OT,,,,,,,"Not SL, SH or SF bug. "
