framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,2,SL SH SF,2,40224,17,11,0,24,
defects4j,Codec,3,SL SH SF,3,19156,7,3,1,10,
defects4j,Codec,4,SL SH SF,1,12724,10,1,4,5,
defects4j,Codec,5,SH SF,5,15611,7,3,1,12,
defects4j,Codec,6,SF,1,16980,7,7,2,17,
defects4j,Codec,7,SL SH SF,1,9759,5,1,4,4,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,6,10966,6,0,0,6,
defects4j,Codec,10,SL SH SF,1,25905,8,5,0,11,
defects4j,Codec,11,BF,,,,,,,Out of limited tokens.
defects4j,Codec,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,4,26518,17,14,0,32,
defects4j,Codec,16,BF,,,,,,,Out of limited tokens.
defects4j,Codec,17,SL SH SF,4,6662,5,1,3,9,
defects4j,Codec,18,SL SH SF,2,8673,6,1,0,4,
