framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,200698,,25,8,425,
defects4j,Collections,2,BF,,,,,,,Out of limited tokens.
defects4j,Collections,3,SL SH SF,2,7781,5,0,2,3,
defects4j,Collections,4,BF,,,,,,,Out of limited tokens.
defects4j,Collections,5,SF,2,11222,6,6,0,14,
defects4j,Collections,6,SF,5,25582,5,2,0,9,
defects4j,Collections,7,BF,,,,,,,Out of limited tokens.
defects4j,Collections,8,BF,,,,,,,Out of limited tokens.
defects4j,Collections,9,SL SH SF,5,20094,17,5,4,18,
defects4j,Collections,10,BF,,,,,,,Out of limited tokens.
defects4j,Collections,11,SH SF,1,16535,16,1,16,10,
defects4j,Collections,12,SH SF,1,11568,7,3,4,9,
defects4j,Collections,13,SH SF,1,7945,6,4,0,9,
defects4j,Collections,14,SH SF,1,16401,13,1,6,8,
defects4j,Collections,15,SF,3,18138,15,12,0,27,
defects4j,Collections,16,BF,,,,,,,Out of limited tokens.
defects4j,Collections,17,BF,4,29639,6,1,2,8,
defects4j,Collections,18,SF,1,192345,165,48,62,391,
defects4j,Collections,19,SF,7,12941,6,2,0,11,
defects4j,Collections,20,SF,1,175059,142,70,1,581,
defects4j,Collections,21,BF,,,,,,,Out of limited tokens.
defects4j,Collections,22,SF,4,14453,8,6,0,16,
defects4j,Collections,23,BF,6,44008,5,0,2,6,
defects4j,Collections,24,BF,4,83577,17,13,2,32,
defects4j,Collections,25,BF,,,,,,,Out of limited tokens.
defects4j,Collections,26,BF,,,,,,,Out of limited tokens.
defects4j,Collections,27,BF,,,,,,,Out of limited tokens.
defects4j,Collections,28,BF,,,,,,,Out of limited tokens.
