framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonDatabind,1,SL SH SF,2,13372,7,0,1,3,
defects4j,JacksonDatabind,2,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,3,BF,2,30108,5,1,3,5,
defects4j,JacksonDatabind,4,BF,3,46418,7,2,3,10,
defects4j,JacksonDatabind,5,SF,6,31070,16,9,1,24,
defects4j,JacksonDatabind,6,SF,1,33554,7,8,2,19,
defects4j,JacksonDatabind,7,SF,4,11346,8,3,0,10,
defects4j,JacksonDatabind,8,SF,1,16567,7,4,4,11,
defects4j,JacksonDatabind,9,BF,5,17816,6,2,1,10,
defects4j,JacksonDatabind,10,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,11,SF,0,776406,,137,184,1903,
defects4j,JacksonDatabind,12,SH SF,2,13325,7,0,2,4,
defects4j,JacksonDatabind,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,14,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,15,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,16,SL SH SF,2,7694,6,3,1,9,
defects4j,JacksonDatabind,17,SL SH SF,1,15689,11,3,5,9,
defects4j,JacksonDatabind,18,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,19,SH SF,7,34812,24,5,10,23,
defects4j,JacksonDatabind,20,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,21,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,23,BF,0,1411569,,0,248,126,
defects4j,JacksonDatabind,24,SF,2,23848,16,7,0,19,
defects4j,JacksonDatabind,25,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,26,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,27,SL SH SF,2,19605,7,4,0,10,
defects4j,JacksonDatabind,28,SF,0,307697,,0,78,40,
defects4j,JacksonDatabind,29,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,31,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,32,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,33,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,34,SL SH SF,1,11891,6,0,4,2,
defects4j,JacksonDatabind,35,SF,6,24246,8,4,1,15,
defects4j,JacksonDatabind,36,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,37,SL SH SF,1,69334,70,7,43,51,
defects4j,JacksonDatabind,38,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,39,SF,2,15324,12,2,8,11,
defects4j,JacksonDatabind,40,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,41,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,42,SH SF,3,8156,5,1,1,5,
defects4j,JacksonDatabind,43,BF,1,108912,37,0,28,17,
defects4j,JacksonDatabind,44,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,45,SH SF,0,931904,,348,170,4963,
defects4j,JacksonDatabind,46,SL SH SF,2,9739,10,4,0,10,
defects4j,JacksonDatabind,47,SF,5,40453,10,6,2,19,
defects4j,JacksonDatabind,48,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,49,SF,4,18833,15,6,6,19,
defects4j,JacksonDatabind,50,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,51,SF,3,40802,16,5,4,16,
defects4j,JacksonDatabind,52,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,53,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,54,SF,5,33507,7,4,0,13,
defects4j,JacksonDatabind,55,BF,1,115861,24,12,9,38,
defects4j,JacksonDatabind,56,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,57,SL SH SF,1,9977,8,1,4,5,
defects4j,JacksonDatabind,58,SF,4,29893,10,5,5,19,
defects4j,JacksonDatabind,59,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,60,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,61,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,62,SH SF,1,46093,23,6,16,22,
defects4j,JacksonDatabind,63,SF,6,17789,6,2,1,11,
defects4j,JacksonDatabind,64,SF,6,37034,7,4,0,14,
defects4j,JacksonDatabind,66,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,67,SF,5,22471,10,6,2,19,
defects4j,JacksonDatabind,68,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,69,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,70,SL SH SF,4,9050,5,0,1,5,
defects4j,JacksonDatabind,71,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,72,BF,1,120268,32,15,4,40,
defects4j,JacksonDatabind,73,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,74,SH SF,8,37140,21,2,14,19,
defects4j,JacksonDatabind,75,BF,1,223698,46,13,20,47,
defects4j,JacksonDatabind,76,SH SF,2,20641,8,0,4,3,
defects4j,JacksonDatabind,77,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,78,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,79,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,80,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,81,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,82,SL SH SF,2,527922,144,32,39,192,
defects4j,JacksonDatabind,83,SF,6,21475,6,1,2,10,
defects4j,JacksonDatabind,84,BF,5,34951,8,2,5,11,
defects4j,JacksonDatabind,85,SF,0,886633,,347,45,4469,
defects4j,JacksonDatabind,86,BF,10,38690,6,1,3,12,
defects4j,JacksonDatabind,87,BF,,,,,,,Out of limited tokens.
defects4j,JacksonDatabind,88,SF,5,20229,7,3,2,12,
defects4j,JacksonDatabind,90,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,91,SF,4,10970,6,1,1,7,
defects4j,JacksonDatabind,92,SF,4,14803,5,1,1,7,
defects4j,JacksonDatabind,93,SH SF,4,34183,19,18,NULL,NULL,
defects4j,JacksonDatabind,94,BF,6,38335,6,3,0,12,
defects4j,JacksonDatabind,95,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,96,SL SH SF,2,16267,7,4,1,11,
defects4j,JacksonDatabind,97,SL SH SF,5,10151,8,1,2,8,
defects4j,JacksonDatabind,98,BF,,,,,,,Out of limited tokens.
