framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Jsoup,1,SH SF,1,16072,11,4,3,12,
defects4j,Jsoup,2,SL SH SF,1,48077,25,20,3,42,
defects4j,Jsoup,3,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,4,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,5,SH SF,5,21180,16,4,9,17,
defects4j,Jsoup,6,SF,3,15416,7,7,0,17,
defects4j,Jsoup,7,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,8,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,9,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,10,SH SF,4,12900,7,2,3,11,
defects4j,Jsoup,11,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,12,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,13,SH SF,1,50003,51,30,3,114,
defects4j,Jsoup,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,15,SL SH SF,,,,,,,Out of limited tokens.
defects4j,Jsoup,16,BF,1,21191,10,9,1,20,
defects4j,Jsoup,17,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,18,BF,1,108897,28,23,4,65,
defects4j,Jsoup,19,SH SF,3,11923,8,3,5,12,
defects4j,Jsoup,20,SH SF,5,15387,7,0,1,6,
defects4j,Jsoup,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,23,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,24,SL SH SF,3,11924,7,3,2,11,
defects4j,Jsoup,25,SL SH SF,3,17148,6,0,0,3,
defects4j,Jsoup,26,SL SH SF,8,8597,6,0,0,8,
defects4j,Jsoup,27,SF,2,13508,13,8,3,20,
defects4j,Jsoup,28,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,29,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,30,BF,4,35279,6,3,1,11,
defects4j,Jsoup,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,32,SL SH SF,3,76351,67,12,21,70,
defects4j,Jsoup,33,SL SH SF,1,181828,108,21,62,110,
defects4j,Jsoup,34,SL SH SF,3,11363,5,1,0,5,
defects4j,Jsoup,35,SL SH SF,,,,,,,Out of limited tokens.
defects4j,Jsoup,36,BF,0,1172853,,85,106,1125,
defects4j,Jsoup,37,SL SH SF,4,303143,284,30,11,467,
defects4j,Jsoup,38,SF,,,,,,,Out of limited tokens.
defects4j,Jsoup,39,SL SH SF,4,18000,7,1,0,6,
defects4j,Jsoup,40,SL SH SF,4,9660,8,2,3,11,
defects4j,Jsoup,41,SL SH SF,8,13748,6,0,0,8,
defects4j,Jsoup,42,SF,3,20159,8,5,1,13,
defects4j,Jsoup,43,SL SH SF,3,9499,6,0,0,3,
defects4j,Jsoup,44,BF,1,181387,77,36,16,175,
defects4j,Jsoup,45,SL SH SF,4,14319,7,1,0,6,
defects4j,Jsoup,46,SL SH SF,5,17800,7,0,0,5,
defects4j,Jsoup,47,SL SH SF,1,15154,6,2,1,6,
defects4j,Jsoup,48,SF,6,21453,7,0,3,6,
defects4j,Jsoup,49,SF,2,17126,12,8,1,18,
defects4j,Jsoup,50,SF,1,40743,13,6,1,13,
defects4j,Jsoup,51,SL SH SF,0,1318798,,0,134,84,
defects4j,Jsoup,52,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,53,SF,4,13980,7,3,2,12,
defects4j,Jsoup,54,SL SH SF,3,11619,8,1,3,8,
defects4j,Jsoup,55,SL SH SF,3,10967,7,0,0,3,
defects4j,Jsoup,56,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,57,SL SH SF,3,7434,5,0,1,4,
defects4j,Jsoup,58,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,59,SF,5,16717,6,3,0,11,
defects4j,Jsoup,60,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,61,SL SH SF,1,85226,55,22,1,80,
defects4j,Jsoup,62,SL SH SF,1,8026,6,0,2,1,
defects4j,Jsoup,63,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,64,SF,1,24950,20,9,3,27,
defects4j,Jsoup,65,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,66,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,67,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,68,SH SF,3,14027,8,3,2,11,
defects4j,Jsoup,69,BF,5,34398,6,2,3,10,
defects4j,Jsoup,70,SF,7,12209,7,1,0,9,
defects4j,Jsoup,71,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,72,SH SF,5,14316,8,2,0,9,
defects4j,Jsoup,73,BF,1,78144,14,6,6,16,
defects4j,Jsoup,74,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,75,SH SF,1,41282,33,16,7,48,
defects4j,Jsoup,76,SL SH SF,,,,,,,Out of limited tokens.
defects4j,Jsoup,77,SL SH SF,3,12001,6,1,2,5,
defects4j,Jsoup,78,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,79,BF,6,20214,5,0,2,8,
defects4j,Jsoup,80,SF,6,16654,8,3,0,12,
defects4j,Jsoup,81,BF,,,,,,,Out of limited tokens.
defects4j,Jsoup,82,SF,1,57701,16,7,11,19,
defects4j,Jsoup,83,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,84,SH SF,1,47879,28,15,3,33,
defects4j,Jsoup,85,SF,5,9361,6,4,0,13,
defects4j,Jsoup,86,SL SH SF,2,11121,10,3,2,9,
defects4j,Jsoup,87,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,88,SL SH SF,2,7453,5,0,1,2,
defects4j,Jsoup,89,SF,6,8199,5,1,0,8,
defects4j,Jsoup,90,SH SF,5,13778,7,0,0,5,
defects4j,Jsoup,91,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,92,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,93,SL SH SF,2,15843,6,2,0,6,
