framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JxPath,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,2,BF,0,751070,,48,56,697,
defects4j,JxPath,3,BF,0,1161768,,84,104,1195,
defects4j,JxPath,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,5,SH SF,8,14682,7,2,0,12,
defects4j,JxPath,6,SF,0,383083,,63,36,933,
defects4j,JxPath,7,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,8,SF,8,17515,7,1,1,11,
defects4j,JxPath,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,10,SL SH SF,0,471246,,27,92,432,
defects4j,JxPath,11,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,12,SH SF,2,399680,237,92,27,589,
defects4j,JxPath,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,14,BF,,,,,,,Out of limited tokens.
defects4j,JxPath,15,BF,2,18459,6,1,3,5,
defects4j,JxPath,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,18,BF,1,398716,112,40,10,379,
defects4j,JxPath,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JxPath,20,BF,1,79191,21,11,1,29,
defects4j,JxPath,21,SH SF,1,74323,71,10,34,55,
defects4j,JxPath,22,SF,4,22919,13,8,0,20,
