framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Mockito,1,SH SF,2,17150,10,11,0,24,
defects4j,Mockito,2,BF,0,239638,,57,41,902,
defects4j,Mockito,3,BF,0,890853,,85,69,1197,
defects4j,Mockito,4,BF,,,,,,,Out of limited tokens.
defects4j,Mockito,5,SL SH SF,3,35386,33,8,15,27,
defects4j,Mockito,6,BF,,,,,,,Out of limited tokens.
defects4j,Mockito,7,SL SH SF,0,531184,,131,145,1958,
defects4j,Mockito,8,SL SH SF,1,41694,32,20,8,41,
defects4j,Mockito,9,BF,1,27536,14,4,10,14,
defects4j,Mockito,10,BF,1,150833,34,29,5,77,
defects4j,Mockito,11,BF,12,30512,8,3,0,18,
defects4j,Mockito,12,SF,7,12452,7,0,1,8,
defects4j,Mockito,13,SF,5,36830,14,4,8,18,
defects4j,Mockito,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,15,BF,1,20873,12,1,10,8,
defects4j,Mockito,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,2,427708,292,32,174,276,
defects4j,Mockito,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,0,638489,,114,178,1569,
defects4j,Mockito,21,BF,16,32373,7,3,0,22,
defects4j,Mockito,22,SH SF,4,25001,19,8,7,23,
defects4j,Mockito,23,BF,3,58495,14,12,2,27,
defects4j,Mockito,24,SL SH SF,1,8487,5,1,3,6,
defects4j,Mockito,25,BF,0,885978,,154,74,2161,
defects4j,Mockito,26,SL SH SF,5,10570,5,1,0,7,
defects4j,Mockito,27,SH SF,1,56386,54,9,33,46,
defects4j,Mockito,28,SH SF,1,25310,23,5,18,21,
defects4j,Mockito,29,SL SH SF,5,8801,8,0,1,6,
defects4j,Mockito,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,31,BF,8,34898,7,1,3,11,
defects4j,Mockito,32,BF,1,22232,8,3,5,11,
defects4j,Mockito,33,SF,1,122457,122,8,88,100,
defects4j,Mockito,34,SL SH SF,6,10398,8,0,2,8,
defects4j,Mockito,35,BF,,,,,,,Out of limited tokens.
defects4j,Mockito,36,BF,1,137799,29,10,17,37,
defects4j,Mockito,37,BF,3,17949,6,0,4,6,
defects4j,Mockito,38,SL SH SF,7,8993,7,0,1,8,
