framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,3,9437,4,2,1,8,
defects4j,Chart,2,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,3,SH SF,2,70507,55,19,7,66,
defects4j,Chart,4,SF,3,23544,6,2,2,8,
defects4j,Chart,5,SF,1,13305,5,6,0,13,
defects4j,Chart,6,SH SF,0,503266,,121,220,1749,
defects4j,Chart,7,SF,13,30920,4,0,0,13,
defects4j,Chart,8,SL SH SF,2,10001,5,0,1,2,
defects4j,Chart,9,SL SH SF,4,11129,5,1,0,6,
defects4j,Chart,10,SL SH SF,2,6786,5,0,1,3,
defects4j,Chart,11,SL SH SF,2,14365,4,0,0,2,
defects4j,Chart,12,SL SH SF,1,8510,6,2,1,6,
defects4j,Chart,13,SL SH SF,4,55198,7,1,0,6,
defects4j,Chart,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,16,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,17,SH SF,3,9522,6,4,2,12,
defects4j,Chart,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,20,SL SH SF,5,8231,4,2,1,9,
defects4j,Chart,21,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,22,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,23,SH SF,0,565530,,58,271,895,
defects4j,Chart,24,SL SH SF,4,15451,12,0,5,7,
defects4j,Chart,25,BF,,,,,,,Out of limited tokens. 
defects4j,Chart,26,SF,3,40012,8,2,3,10,
