framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Cli,1,BF,14,106627,6,0,5,14,
defects4j,Cli,2,SF,2,61355,45,25,4,92,
defects4j,Cli,3,SH SF,3,11131,8,0,3,5,
defects4j,Cli,4,SH SF,1,38105,38,12,1,44,
defects4j,Cli,5,SH SF,1,3992,3,1,0,3,
defects4j,Cli,7,BF,7,56194,6,1,5,10,
defects4j,Cli,8,SL SH SF,2,11685,6,3,0,8,
defects4j,Cli,9,SF,2,9762,4,3,5,9,
defects4j,Cli,10,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,11,SL SH SF,5,9714,5,1,0,7,
defects4j,Cli,12,SF,2,14839,4,4,2,10,
defects4j,Cli,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,14,SF,1,190845,107,4,93,83,
defects4j,Cli,15,SF,1,308360,243,130,59,1525,
defects4j,Cli,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,17,SL SH SF,2,9756,7,3,0,8,
defects4j,Cli,18,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,19,SF,0,194172,,8,142,144,
defects4j,Cli,20,SF,0,434364,,116,107,1472,
defects4j,Cli,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,22,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,23,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,24,SH SF,5,14849,7,4,1,13,
defects4j,Cli,25,SL SH SF,1,12303,10,9,0,19,
defects4j,Cli,26,SF,2,222920,182,61,99,671,
defects4j,Cli,27,SF,0,242316,,80,46,1082,
defects4j,Cli,28,SL SH SF,1,12789,6,0,0,1,
defects4j,Cli,29,SF,0,163682,,90,0,1257,
defects4j,Cli,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,32,SH SF,2,12887,5,4,1,10,
defects4j,Cli,33,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,35,SH SF,5,9574,5,0,3,6,
defects4j,Cli,36,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,37,SF,1,9477,5,4,0,9,
defects4j,Cli,38,SF,6,47628,35,37,0,125,
defects4j,Cli,39,BF,13,78122,5,0,1,14,
defects4j,Cli,40,SL SH SF,7,11895,8,2,3,14,
