framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,2,SL SH SF,3,17141,8,6,1,16,
defects4j,Codec,3,SL SH SF,4,15049,6,2,0,8,
defects4j,Codec,6,SF,1,175637,105,69,21,376,
defects4j,Codec,7,SL SH SF,3,10881,5,1,6,6,
defects4j,Codec,18,SL SH SF,7,7525,4,1,1,10,
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,4,SL SH SF,1,9230,10,1,6,7,
defects4j,Codec,5,SH SF,6,13774,5,4,0,14,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,8,16568,7,0,3,9,
defects4j,Codec,10,SL SH SF,7,27572,6,3,0,13,
defects4j,Codec,11,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,12,BF,0,1016764,,192,92,2527,
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,4,29050,22,17,0,51,
defects4j,Codec,16,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,17,SL SH SF,9,6004,4,0,1,10,
