framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Csv,1,SL SH SF,4,17425,18,12,2,30,
defects4j,Csv,2,SF,11,11838,5,1,1,14,
defects4j,Csv,3,SF,0,375539,,0,238,118,
defects4j,Csv,4,SL SH SF,2,5565,4,0,2,3,
defects4j,Csv,6,SF,3,59093,52,0,48,27,
defects4j,Csv,9,SH SF,5,12376,6,5,3,16,
defects4j,Csv,11,SL SH SF,4,11037,5,1,3,6,
defects4j,Csv,14,SL SH SF,9,24814,7,1,0,11,
defects4j,Csv,5,SF,8,8453,5,0,2,10,
defects4j,Csv,7,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,8,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,10,SH SF,2,8678,5,2,4,8,
defects4j,Csv,12,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Csv,15,SH SF,3,20415,7,6,1,16,
defects4j,Csv,16,BF,,,,,,,Out of limited tokens. 
