framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonCore,3,SF,1,69928,56,42,10,168,
defects4j,JacksonCore,5,SL SH SF,1,9758,6,0,0,1,
defects4j,JacksonCore,7,SH SF,1,9423,6,6,2,14,
defects4j,JacksonCore,11,SL SH SF,1,29570,30,19,8,42,
defects4j,JacksonCore,21,SF,0,1598750,,31,280,502,
defects4j,JacksonCore,25,SL SH SF,8,13490,5,0,0,8,
defects4j,JacksonCore,26,SL SH SF,1,23224,13,7,0,15,
defects4j,JacksonCore,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,4,SF,12,16064,6,2,1,17,
defects4j,JacksonCore,6,SH SF,6,8400,4,0,2,7,
defects4j,JacksonCore,8,SL SH SF,9,8540,5,1,0,11,
defects4j,JacksonCore,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,10,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,13,BF,4,32968,5,3,1,11,
defects4j,JacksonCore,14,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,15,SF,1,98781,20,15,2,42,
defects4j,JacksonCore,16,BF,2,184010,53,26,6,103,
defects4j,JacksonCore,17,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,20,SH SF,5,23126,19,4,15,21,
defects4j,JacksonCore,22,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,23,SH SF,1,9396,12,5,7,16,
defects4j,JacksonCore,24,OT,,,,,,,"Not SL, SH or SF bug. "
