framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonDatabind,5,SF,9,28882,12,3,9,19,
defects4j,JacksonDatabind,7,SF,4,67561,51,35,16,144,
defects4j,JacksonDatabind,12,SH SF,3,8818,6,4,2,11,
defects4j,JacksonDatabind,24,SF,2,15555,12,10,1,23,
defects4j,JacksonDatabind,34,SL SH SF,1,10049,5,0,2,1,
defects4j,JacksonDatabind,67,SF,7,20894,8,3,4,14,
defects4j,JacksonDatabind,88,SF,1,17823,8,2,8,10,
defects4j,JacksonDatabind,93,SH SF,8,16980,9,3,2,15,
defects4j,JacksonDatabind,101,SF,1,31815,9,8,2,19,
defects4j,JacksonDatabind,107,SL SH SF,6,96520,50,7,39,43,
defects4j,JacksonDatabind,112,SF,0,555153,,84,105,1167,
defects4j,JacksonDatabind,1,SL SH SF,4,11046,5,3,0,10,
defects4j,JacksonDatabind,2,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,3,BF,11,56132,5,0,3,12,
defects4j,JacksonDatabind,4,BF,5,99080,16,5,13,22,
defects4j,JacksonDatabind,6,SF,0,896221,,233,17,2973,
defects4j,JacksonDatabind,8,SF,2,48342,27,14,13,47,
defects4j,JacksonDatabind,9,SF,6,11203,5,0,0,6,
defects4j,JacksonDatabind,10,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,11,SF,0,528419,,112,81,1434,
defects4j,JacksonDatabind,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,14,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,15,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,16,SL SH SF,2,5928,5,3,1,9,
defects4j,JacksonDatabind,17,SL SH SF,3,26762,18,13,1,30,
defects4j,JacksonDatabind,18,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,19,SH SF,16,39674,24,4,12,31,
defects4j,JacksonDatabind,20,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,21,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,23,BF,5,211804,36,11,22,54,
defects4j,JacksonDatabind,25,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,26,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,27,SL SH SF,1,70943,30,13,7,38,
defects4j,JacksonDatabind,28,SF,0,356951,,0,227,113,
defects4j,JacksonDatabind,29,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,31,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,32,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,33,BF,,,,,,,Out of limited tokens. 
