framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Jsoup,6,SF,1,25077,14,2,14,12,
defects4j,Jsoup,33,SL SH SF,2,123848,73,11,50,76,
defects4j,Jsoup,35,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,47,SL SH SF,3,13669,4,4,1,11,
defects4j,Jsoup,59,SF,9,19151,7,1,5,13,
defects4j,Jsoup,1,SH SF,1,9147,5,1,2,5,
defects4j,Jsoup,2,SL SH SF,1,14817,7,9,0,19,
defects4j,Jsoup,3,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,4,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,5,SH SF,7,11352,5,1,3,11,
defects4j,Jsoup,7,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,8,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,9,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,10,SH SF,1,8116,4,3,0,7,
defects4j,Jsoup,11,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,12,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,13,SH SF,0,374036,,211,52,2957,
defects4j,Jsoup,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,15,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,16,BF,1,18125,8,10,0,21,
defects4j,Jsoup,17,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,18,BF,1,48385,10,11,1,23,
defects4j,Jsoup,19,SH SF,7,17517,14,6,5,22,
defects4j,Jsoup,20,SH SF,6,11450,5,0,0,6,
defects4j,Jsoup,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,23,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,24,SL SH SF,2,11768,6,1,6,9,
defects4j,Jsoup,25,SL SH SF,1,13376,4,2,2,6,
defects4j,Jsoup,26,SL SH SF,5,8637,6,2,2,11,
defects4j,Jsoup,27,SF,0,156849,,47,31,624,
defects4j,Jsoup,28,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,29,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,30,BF,10,45972,5,1,2,13,
defects4j,Jsoup,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,32,SL SH SF,1,23113,24,5,11,20,
defects4j,Jsoup,34,SL SH SF,5,13258,5,0,0,5,
defects4j,Jsoup,36,BF,0,1519632,,237,43,3032,
defects4j,Jsoup,37,SL SH SF,4,68778,65,16,28,82,
