framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Lang,26,SL SH SF,2,7108,5,2,3,9,
defects4j,Lang,28,SF,15,21459,5,0,0,15,
defects4j,Lang,38,SL SH SF,1,23528,23,11,5,26,
defects4j,Lang,54,SH SF,5,14820,5,1,1,8,
defects4j,Lang,58,SH SF,2,20442,6,3,3,11,
defects4j,Lang,59,SL SH SF,3,10786,5,0,0,3,
defects4j,Lang,1,SF,4,81280,14,10,2,24,
defects4j,Lang,3,SF,1,325990,75,41,4,202,
defects4j,Lang,4,BF,10,32530,5,0,3,10,
defects4j,Lang,5,SF,5,30251,5,7,2,19,
defects4j,Lang,6,SL SH SF,1,38522,29,11,6,35,
defects4j,Lang,7,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,8,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,9,SH SF,0,854960,,334,86,4379,
defects4j,Lang,10,SF,0,402089,,178,4,2173,
defects4j,Lang,11,SH SF,7,18910,10,5,1,17,
defects4j,Lang,12,SF,14,30847,5,2,0,18,
defects4j,Lang,13,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,14,SF,6,11069,4,0,1,7,
defects4j,Lang,15,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,16,SL SH SF,6,40588,7,0,0,6,
defects4j,Lang,17,SF,1,35730,26,20,8,50,
defects4j,Lang,19,SF,2,24817,10,11,1,24,
defects4j,Lang,20,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,21,SL SH SF,3,11465,4,0,0,3,
defects4j,Lang,22,SF,2,24111,7,4,4,14,
defects4j,Lang,23,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,24,SL SH SF,4,45259,8,0,0,4,
defects4j,Lang,27,SF,12,61841,5,1,3,14,
defects4j,Lang,29,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,30,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,31,SF,5,16925,5,0,8,7,
defects4j,Lang,32,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,33,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Lang,34,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,35,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,36,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,37,SF,2,14290,5,2,7,7,
defects4j,Lang,39,SH SF,6,27777,5,1,1,8,
defects4j,Lang,40,SH SF,2,11990,6,5,1,13,
defects4j,Lang,41,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,42,SF,0,251486,,83,0,1091,
defects4j,Lang,43,SL SH SF,3,16150,8,2,1,7,
defects4j,Lang,44,SH SF,5,20047,5,1,0,7,
defects4j,Lang,45,SH SF,3,19686,6,1,0,5,
defects4j,Lang,46,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,47,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,49,SH SF,0,383616,,95,17,1335,
defects4j,Lang,50,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,51,SL SH SF,4,18979,6,2,3,11,
defects4j,Lang,52,SH SF,1,10182,4,1,1,3,
defects4j,Lang,53,SF,5,41001,5,5,0,15,
defects4j,Lang,55,SF,8,9936,6,2,3,13,
defects4j,Lang,56,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,57,SL SH SF,7,7962,5,0,1,7,
defects4j,Lang,60,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,61,SL SH SF,1,9328,5,2,1,6,
defects4j,Lang,62,BF,,,,,,,Out of limited tokens.
defects4j,Lang,63,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,64,BF,7,40767,4,3,0,13,
defects4j,Lang,65,SF,3,1170521,343,226,48,2826,
