framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Math,5,SL SH SF,3,7242,5,0,0,3,
defects4j,Math,10,SL SH SF,8,18534,4,3,0,14,
defects4j,Math,11,SL SH SF,4,9422,6,2,1,9,
defects4j,Math,23,SF,1,39724,7,8,0,17,
defects4j,Math,32,SL SH SF,6,24430,7,1,2,10,
defects4j,Math,40,SF,1,127151,23,13,4,36,
defects4j,Math,75,SL SH SF,5,15089,12,3,9,15,
defects4j,Math,80,SL SH SF,4,17055,6,4,0,12,
defects4j,Math,84,SF,1,25533,7,2,7,9,
defects4j,Math,96,SL SH SF,1,36607,29,11,2,33,
defects4j,Math,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,2,SL SH SF,8,8419,5,2,1,13,
defects4j,Math,3,SF,17,35879,5,1,0,19,
defects4j,Math,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,6,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,7,SF,0,512966,,1,315,156,
defects4j,Math,8,BF,1,39242,6,2,6,8,
defects4j,Math,9,SH SF,0,330636,,67,53,984,
defects4j,Math,12,BF,4,42176,7,4,2,14,
defects4j,Math,13,SF,0,478619,,28,278,464,
defects4j,Math,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,15,BF,,,,,,,Out of limited tokens. 
defects4j,Math,16,BF,,,,,,,Out of limited tokens. 
defects4j,Math,17,SF,6,30685,14,6,8,24,
defects4j,Math,18,BF,,,,,,,Out of limited tokens. 
defects4j,Math,19,SH SF,10,15661,4,0,1,11,
defects4j,Math,20,SH SF,2,23556,22,9,14,28,
defects4j,Math,21,SF,1,643263,212,198,13,1563,
defects4j,Math,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,24,SF,2,119311,31,19,4,48,
defects4j,Math,25,SF,3,25251,5,4,1,11,
defects4j,Math,26,SF,1,54682,25,17,2,44,
defects4j,Math,27,SL SH SF,11,11458,7,0,3,12,
