project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,9,Chart_9_1.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_0.diff
Chart,20,Chart_20_0.diff
Chart,24,Chart_24_0.diff
Chart,26,Chart_26_0.diff
Cli,5,Cli_5_0.diff
Cli,7,Cli_7_0.diff
Cli,17,Cli_17_0.diff
Cli,24,Cli_24_0.diff
Cli,26,Cli_26_1.diff
Cli,28,Cli_28_0.diff
Closure,1,Closure_1_0.diff
Closure,5,Closure_5_0.diff
Closure,14,Closure_14_0.diff
Closure,15,Closure_15_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,33,Closure_33_0.diff
Closure,36,Closure_36_0.diff
Closure,38,Closure_38_0.diff
Closure,57,Closure_57_0.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,70,Closure_70_0.diff
Closure,73,Closure_73_2.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,101,Closure_101_0.diff
Closure,102,Closure_102_0.diff
Closure,125,Closure_125_1.diff
Closure,126,Closure_126_0.diff
Closure,128,Closure_128_4.diff
Closure,129,Closure_129_1.diff
Closure,133,Closure_133_0.diff
Closure,168,Closure_168_1.diff
Codec,2,Codec_2_0.diff
Codec,3,Codec_3_0.diff
Codec,4,Codec_4_0.diff
Codec,5,Codec_5_4.diff
Codec,7,Codec_7_0.diff
Codec,10,Codec_10_2.diff
Collections,6,Collections_6_0.diff
Collections,13,Collections_13_0.diff
Compress,1,Compress_1_1.diff
Compress,14,Compress_14_0.diff
Compress,19,Compress_19_1.diff
Compress,23,Compress_23_3.diff
Compress,30,Compress_30_0.diff
Compress,31,Compress_31_0.diff
Compress,32,Compress_32_3.diff
Compress,46,Compress_46_3.diff
Csv,4,Csv_4_1.diff
Csv,5,Csv_5_6.diff
Csv,11,Csv_11_0.diff
Gson,3,Gson_3_0.diff
Gson,11,Gson_11_3.diff
Gson,12,Gson_12_1.diff
Gson,15,Gson_15_0.diff
JacksonCore,5,JacksonCore_5_0.diff
JacksonCore,7,JacksonCore_7_0.diff
JacksonCore,8,JacksonCore_8_0.diff
JacksonCore,13,JacksonCore_13_0.diff
JacksonCore,25,JacksonCore_25_0.diff
JacksonDatabind,1,JacksonDatabind_1_0.diff
JacksonDatabind,4,JacksonDatabind_4_0.diff
JacksonDatabind,16,JacksonDatabind_16_0.diff
JacksonDatabind,17,JacksonDatabind_17_0.diff
JacksonDatabind,27,JacksonDatabind_27_0.diff
JacksonDatabind,34,JacksonDatabind_34_0.diff
JacksonDatabind,42,JacksonDatabind_42_0.diff
JacksonDatabind,46,JacksonDatabind_46_0.diff
JacksonDatabind,67,JacksonDatabind_67_0.diff
JacksonDatabind,70,JacksonDatabind_70_1.diff
JacksonDatabind,72,JacksonDatabind_72_0.diff
JacksonDatabind,82,JacksonDatabind_82_0.diff
JacksonDatabind,97,JacksonDatabind_97_0.diff
JacksonDatabind,99,JacksonDatabind_99_0.diff
JacksonDatabind,102,JacksonDatabind_102_0.diff
JacksonXml,5,JacksonXml_5_0.diff
Jsoup,10,Jsoup_10_0.diff
Jsoup,25,Jsoup_25_0.diff
Jsoup,26,Jsoup_26_0.diff
Jsoup,33,Jsoup_33_0.diff
Jsoup,34,Jsoup_34_0.diff
Jsoup,40,Jsoup_40_0.diff
Jsoup,42,Jsoup_42_0.diff
Jsoup,43,Jsoup_43_0.diff
Jsoup,46,Jsoup_46_0.diff
Jsoup,47,Jsoup_47_0.diff
Jsoup,55,Jsoup_55_0.diff
Jsoup,57,Jsoup_57_0.diff
Jsoup,62,Jsoup_62_1.diff
Jsoup,85,Jsoup_85_2.diff
Jsoup,86,Jsoup_86_0.diff
Jsoup,89,Jsoup_89_4.diff
Jsoup,90,Jsoup_90_0.diff
Lang,4,Lang_4_0.diff
Lang,16,Lang_16_1.diff
Lang,21,Lang_21_0.diff
Lang,24,Lang_24_0.diff
Lang,39,Lang_39_0.diff
Lang,43,Lang_43_0.diff
Lang,44,Lang_44_1.diff
Lang,45,Lang_45_0.diff
Lang,51,Lang_51_1.diff
Lang,52,Lang_52_0.diff
Lang,54,Lang_54_2.diff
Lang,55,Lang_55_0.diff
Lang,59,Lang_59_2.diff
Lang,61,Lang_61_0.diff
Math,3,Math_3_2.diff
Math,10,Math_10_3.diff
Math,33,Math_33_1.diff
Math,41,Math_41_0.diff
Math,48,Math_48_3.diff
Math,56,Math_56_0.diff
Math,57,Math_57_1.diff
Math,58,Math_58_0.diff
Math,70,Math_70_1.diff
Math,72,Math_72_0.diff
Math,75,Math_75_1.diff
Math,80,Math_80_0.diff
Math,94,Math_94_0.diff
Math,101,Math_101_1.diff
Math,105,Math_105_1.diff
Mockito,24,Mockito_24_1.diff
Mockito,26,Mockito_26_0.diff
Mockito,29,Mockito_29_0.diff
Mockito,34,Mockito_34_2.diff
Time,4,Time_4_0.diff
Time,15,Time_15_1.diff
Time,19,Time_19_1.diff
