framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Cli,1,BF,1,16436,1,0,3,1,
defects4j,Cli,2,SF,0,63164,,14,4,196,
defects4j,Cli,3,SH SF,4,2905,1,0,1,4,
defects4j,Cli,4,SH SF,2,7026,5,5,0,12,
defects4j,Cli,5,SH SF,3,2412,1,0,0,3,
defects4j,Cli,7,BF,3,36488,6,3,3,12,
defects4j,Cli,8,SL SH SF,1,7481,2,1,0,3,
defects4j,Cli,9,SF,1,3920,1,3,0,7,
defects4j,Cli,10,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,11,SL SH SF,3,6844,2,1,0,5,
defects4j,Cli,12,SF,3,13480,4,5,0,16,
defects4j,Cli,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,14,SF,3,15193,6,1,4,8,
defects4j,Cli,15,SF,3,8641,3,3,0,10,
defects4j,Cli,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,17,SL SH SF,1,3381,1,0,0,1,
defects4j,Cli,18,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,19,SF,0,38737,,0,13,6,
defects4j,Cli,20,SF,1,67416,31,18,5,150,
defects4j,Cli,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,22,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,23,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,24,SH SF,1,4435,1,3,0,7,
defects4j,Cli,25,SL SH SF,1,3967,1,1,0,3,
defects4j,Cli,26,SF,1,24388,18,12,3,55,
defects4j,Cli,27,SF,4,4570,2,1,0,6,
defects4j,Cli,28,SL SH SF,1,4594,1,2,1,6,
defects4j,Cli,29,SF,0,53669,,25,1,356,
defects4j,Cli,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,32,SH SF,1,12933,5,6,1,13,
defects4j,Cli,33,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,35,SH SF,2,3266,1,0,2,2,
defects4j,Cli,36,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,37,SF,3,4474,1,0,0,3,
defects4j,Cli,38,SF,2,4686,2,3,0,8,
defects4j,Cli,39,BF,3,20124,1,0,1,3,
defects4j,Cli,40,SL SH SF,3,3678,1,0,0,3,
