framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,2,11675,2,0,4,4,
defects4j,Closure,2,SF,1,9370,3,0,5,2,
defects4j,Closure,3,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,4,SF,0,63200,,14,7,199,
defects4j,Closure,5,SH SF,2,7886,2,1,2,4,
defects4j,Closure,6,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,7,SF,3,16026,11,3,2,21,
defects4j,Closure,8,BF,1,25775,2,1,3,4,
defects4j,Closure,9,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,10,SL SH SF,1,2776,1,0,0,1,
defects4j,Closure,11,SH SF,2,5537,2,0,3,3,
defects4j,Closure,12,SH SF,4,3378,2,0,1,5,
defects4j,Closure,13,SF,1,15992,8,4,4,14,
defects4j,Closure,14,SL SH SF,1,20376,6,3,3,11,
defects4j,Closure,15,SH SF,2,62745,43,16,21,125,
defects4j,Closure,16,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,17,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,18,SL SH SF,2,8986,1,0,0,2,
defects4j,Closure,19,SF,4,4385,1,0,0,4,
defects4j,Closure,20,SH SF,2,4305,2,1,1,4,
defects4j,Closure,21,SF,0,155166,,22,2,286,
defects4j,Closure,22,SF,1,29853,6,5,1,13,
defects4j,Closure,23,SF,0,99554,,31,1,436,
defects4j,Closure,24,SF,0,78900,,23,5,314,
defects4j,Closure,25,SF,0,82766,,12,17,148,
defects4j,Closure,26,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,27,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,28,BF,3,39932,11,6,5,31,
defects4j,Closure,29,SF,0,163004,,26,9,313,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,3,23815,2,1,3,7,
defects4j,Closure,32,SF,0,139093,,34,4,443,
defects4j,Closure,33,SH SF,1,5692,2,0,4,2,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,133284,,13,36,183,
defects4j,Closure,36,SH SF,3,6105,1,0,2,3,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,3,4080,1,0,0,3,
defects4j,Closure,39,SF,0,69079,,7,17,102,
defects4j,Closure,40,SF,3,13339,3,1,0,6,
defects4j,Closure,41,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,42,SF,1,16090,4,2,3,7,
defects4j,Closure,43,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,44,SF,4,4188,1,0,1,4,
defects4j,Closure,45,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,46,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,47,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,180400,,19,7,244,
defects4j,Closure,49,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,50,SF,0,204121,,24,7,312,
defects4j,Closure,51,BF,1,30121,3,2,2,6,
defects4j,Closure,52,SL SH SF,2,3333,1,0,0,2,
defects4j,Closure,53,SF,2,8030,1,1,1,4,
defects4j,Closure,54,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,1,77905,53,0,30,14,
defects4j,Closure,56,SF,4,5591,1,0,0,4,
defects4j,Closure,57,SL SH SF,1,2770,1,0,1,1,
defects4j,Closure,58,SF,3,40553,11,3,6,24,
defects4j,Closure,59,SH SF,3,14483,3,2,1,8,
defects4j,Closure,60,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,61,SH SF,2,4706,1,0,2,2,
defects4j,Closure,62,SL SH SF,2,4102,1,0,0,2,
defects4j,Closure,64,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,65,SL SH SF,1,5505,1,0,0,1,
defects4j,Closure,66,SF,,,,,,,Out of limited tokens. 
defects4j,Closure,67,SL SH SF,0,115843,,32,10,414,
