framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,2,SL SH SF,1,17670,5,6,2,13,
defects4j,Codec,3,SL SH SF,2,7530,1,0,0,2,
defects4j,Codec,4,SL SH SF,1,5133,4,2,6,5,
defects4j,Codec,5,SH SF,4,5043,1,0,0,4,
defects4j,Codec,6,SF,2,10258,3,3,0,9,
defects4j,Codec,7,SL SH SF,1,7572,4,3,4,8,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,3,3496,1,0,0,3,
defects4j,Codec,10,SL SH SF,1,26493,5,5,2,11,
defects4j,Codec,11,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,12,BF,0,209298,,44,5,570,
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,4,11964,6,5,0,17,
defects4j,Codec,16,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,17,SL SH SF,3,2680,1,0,0,3,
defects4j,Codec,18,SL SH SF,3,4291,2,1,0,5,
