framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,43002,,3,1,68,
defects4j,Collections,2,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,3,SL SH SF,2,2905,1,1,1,4,
defects4j,Collections,4,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,5,SF,1,11046,7,8,1,26,
defects4j,Collections,6,SF,1,15739,2,1,2,3,
defects4j,Collections,7,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,8,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,9,SL SH SF,3,5968,4,2,0,7,
defects4j,Collections,10,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,11,SH SF,1,3896,2,0,4,2,
defects4j,Collections,12,SH SF,1,17559,14,9,6,27,
defects4j,Collections,13,SH SF,1,8437,7,4,0,13,
defects4j,Collections,14,SH SF,0,83992,,0,5,3,
defects4j,Collections,15,SF,3,5160,2,3,0,9,
defects4j,Collections,16,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,17,BF,4,15126,1,0,1,4,
defects4j,Collections,18,SF,0,59554,,16,16,214,
defects4j,Collections,19,SF,2,7484,4,5,0,15,
defects4j,Collections,20,SF,0,63161,,28,0,341,
defects4j,Collections,21,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,22,SF,2,5546,2,1,2,4,
defects4j,Collections,23,BF,3,16939,1,0,1,3,
defects4j,Collections,24,BF,3,73120,13,6,3,26,
defects4j,Collections,25,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,26,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,27,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,28,BF,,,,,,,Out of limited tokens. 
