framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Compress,1,SL SH SF,1,3822,2,0,3,2,
defects4j,Compress,2,BF,1,42065,6,5,1,14,
defects4j,Compress,3,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,5,SH SF,1,16293,5,3,3,8,
defects4j,Compress,6,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,7,SF,3,3867,1,0,1,3,
defects4j,Compress,8,SF,0,110384,,47,1,615,
defects4j,Compress,9,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,10,SF,1,23259,8,2,5,9,
defects4j,Compress,11,SF,2,10208,2,2,1,6,
defects4j,Compress,12,SH SF,1,7608,3,3,1,7,
defects4j,Compress,13,SH SF,3,2796,1,0,0,3,
defects4j,Compress,14,SH SF,1,37626,17,7,5,34,
defects4j,Compress,15,SF,4,5763,1,0,0,4,
defects4j,Compress,16,SF,0,103276,,15,9,233,
defects4j,Compress,17,SF,1,95329,48,36,1,374,
defects4j,Compress,18,SF,1,8923,2,1,1,3,
defects4j,Compress,19,SL SH SF,3,4956,1,0,0,3,
defects4j,Compress,20,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,21,SF,3,3685,1,1,0,5,
defects4j,Compress,22,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,23,SL SH SF,4,3366,1,0,0,4,
defects4j,Compress,24,SF,1,16795,6,7,0,22,
defects4j,Compress,25,SL SH SF,1,6068,4,2,1,5,
defects4j,Compress,26,SH SF,1,3729,2,1,3,3,
defects4j,Compress,27,SH SF,1,4789,1,0,0,1,
defects4j,Compress,28,SF,4,4055,1,0,0,4,
defects4j,Compress,29,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,30,SH SF,2,4394,1,0,0,2,
defects4j,Compress,31,SH SF,1,4357,1,0,0,1,
defects4j,Compress,32,SF,2,6700,1,2,0,6,
defects4j,Compress,33,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,34,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,35,SF,3,25289,13,7,1,36,
defects4j,Compress,36,SH SF,2,12240,7,4,2,12,
defects4j,Compress,37,SH SF,0,174046,,1,62,52,
defects4j,Compress,38,SL SH SF,2,6831,4,2,4,6,
defects4j,Compress,39,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,40,SF,0,69310,,10,2,139,
defects4j,Compress,41,SF,0,204507,,36,11,499,
defects4j,Compress,42,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,43,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,44,SF,3,2962,1,0,1,4,
defects4j,Compress,45,SF,1,16302,8,4,3,19,
defects4j,Compress,46,SH SF,1,5858,1,0,0,1,
defects4j,Compress,47,BF,,,,,,,Out of limited tokens. 
