framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Gson,1,BF,0,208670,,25,11,382,
defects4j,Gson,2,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,3,BF,1,28599,2,2,2,5,
defects4j,Gson,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,5,SL SH SF,4,9787,1,0,0,4,
defects4j,Gson,6,SF,0,56460,,0,25,13,
defects4j,Gson,7,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,8,BF,4,13303,1,0,0,4,
defects4j,Gson,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,10,SH SF,0,91192,,21,10,372,
defects4j,Gson,11,SL SH SF,1,2703,1,0,2,1,
defects4j,Gson,12,SF,3,4358,1,0,1,3,
defects4j,Gson,13,SL SH SF,2,86993,28,11,1,75,
defects4j,Gson,14,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,15,SL SH SF,5,2715,1,0,0,5,
defects4j,Gson,16,SF,3,13079,1,0,2,3,
defects4j,Gson,17,SH SF,1,39181,29,17,2,107,
defects4j,Gson,18,SF,0,62511,,23,5,341,
