framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonDatabind,1,SL SH SF,1,4189,1,0,0,1,
defects4j,JacksonDatabind,2,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,3,BF,1,17241,1,0,3,1,
defects4j,JacksonDatabind,4,BF,3,27154,2,1,2,5,
defects4j,JacksonDatabind,5,SF,1,7414,2,1,2,3,
defects4j,JacksonDatabind,6,SF,0,219607,,51,10,620,
defects4j,JacksonDatabind,7,SF,3,5416,3,2,1,7,
defects4j,JacksonDatabind,8,SF,1,64428,34,20,13,142,
defects4j,JacksonDatabind,9,SF,4,3647,1,0,0,4,
defects4j,JacksonDatabind,10,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,11,SF,0,93234,,25,21,344,
defects4j,JacksonDatabind,12,SH SF,2,3062,1,0,2,2,
defects4j,JacksonDatabind,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,14,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,15,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,16,SL SH SF,2,2706,1,0,0,2,
defects4j,JacksonDatabind,17,SL SH SF,1,3972,2,1,0,3,
defects4j,JacksonDatabind,18,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,19,SH SF,1,7927,4,1,5,4,
defects4j,JacksonDatabind,20,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,21,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,23,BF,2,256222,38,7,31,101,
defects4j,JacksonDatabind,24,SF,0,45148,,10,3,152,
defects4j,JacksonDatabind,25,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,26,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,27,SL SH SF,1,6708,1,0,1,1,
defects4j,JacksonDatabind,28,SF,0,60987,,0,18,9,
defects4j,JacksonDatabind,29,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,31,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,32,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,33,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,34,SL SH SF,1,3440,1,0,3,1,
defects4j,JacksonDatabind,35,SF,4,67248,25,6,11,59,
defects4j,JacksonDatabind,36,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,37,SL SH SF,1,7597,5,0,5,3,
defects4j,JacksonDatabind,38,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,39,SF,1,11019,8,1,8,8,
defects4j,JacksonDatabind,40,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,41,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,42,SH SF,1,2825,1,1,0,3,
defects4j,JacksonDatabind,43,BF,2,29756,6,0,7,5,
defects4j,JacksonDatabind,44,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,45,SH SF,0,137865,,52,18,723,
defects4j,JacksonDatabind,46,SL SH SF,4,4726,2,2,0,8,
defects4j,JacksonDatabind,47,SF,2,20372,3,0,3,3,
defects4j,JacksonDatabind,48,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,49,SF,1,3410,1,0,2,1,
defects4j,JacksonDatabind,50,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,51,SF,1,10722,2,2,1,5,
defects4j,JacksonDatabind,52,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,53,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,54,SF,4,13405,1,0,0,4,
defects4j,JacksonDatabind,55,BF,1,18846,1,0,3,1,
defects4j,JacksonDatabind,56,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,57,SL SH SF,1,2549,1,1,2,3,
defects4j,JacksonDatabind,58,SF,2,17453,5,1,4,6,
defects4j,JacksonDatabind,59,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,60,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,61,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,62,SH SF,1,167420,72,19,42,227,
defects4j,JacksonDatabind,63,SF,3,6923,1,2,0,7,
defects4j,JacksonDatabind,64,SF,2,19207,1,1,0,4,
defects4j,JacksonDatabind,66,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,67,SF,2,6128,1,1,2,4,
defects4j,JacksonDatabind,68,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,69,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,70,SL SH SF,4,13932,2,2,2,10,
defects4j,JacksonDatabind,71,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,72,BF,0,182281,,18,8,236,
defects4j,JacksonDatabind,73,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,74,SH SF,4,10747,4,0,3,6,
defects4j,JacksonDatabind,75,BF,0,245273,,17,10,222,
defects4j,JacksonDatabind,76,SH SF,1,5953,1,0,2,1,
defects4j,JacksonDatabind,77,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,78,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,79,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,80,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,81,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,82,SL SH SF,0,318299,,13,24,185,
defects4j,JacksonDatabind,83,SF,1,8702,1,0,0,1,
defects4j,JacksonDatabind,84,BF,1,49936,13,6,6,33,
defects4j,JacksonDatabind,85,SF,0,107312,,43,3,504,
defects4j,JacksonDatabind,86,BF,3,12888,1,0,2,3,
defects4j,JacksonDatabind,87,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,88,SF,4,6494,1,0,0,4,
defects4j,JacksonDatabind,90,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,91,SF,4,4852,2,1,0,6,
defects4j,JacksonDatabind,92,SF,4,8946,2,0,1,5,
defects4j,JacksonDatabind,93,SH SF,4,10443,4,1,1,7,
defects4j,JacksonDatabind,94,BF,3,19125,2,1,1,5,
defects4j,JacksonDatabind,95,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,96,SL SH SF,2,6405,1,0,1,2,
defects4j,JacksonDatabind,97,SL SH SF,3,2706,1,0,1,3,
defects4j,JacksonDatabind,98,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,99,SL SH SF,1,2303,1,1,1,3,
defects4j,JacksonDatabind,100,SF,3,10051,5,4,0,12,
defects4j,JacksonDatabind,101,SF,1,106922,33,6,18,65,
defects4j,JacksonDatabind,102,SH SF,4,5908,1,0,0,4,
defects4j,JacksonDatabind,103,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,104,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,105,BF,1,12989,4,0,6,3,
defects4j,JacksonDatabind,106,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,107,SL SH SF,1,6147,1,0,3,1,
defects4j,JacksonDatabind,108,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,109,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,110,BF,0,247559,,9,23,133,
defects4j,JacksonDatabind,111,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,112,SF,4,9901,2,1,0,6,
