framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Jsoup,1,SH SF,2,11247,6,0,4,4,
defects4j,Jsoup,2,SL SH SF,0,180063,,38,11,486,
defects4j,Jsoup,3,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,4,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,5,SH SF,3,4134,1,1,0,5,
defects4j,Jsoup,6,SF,2,5526,1,2,0,6,
defects4j,Jsoup,7,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,8,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,9,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,10,SH SF,4,7931,3,0,2,5,
defects4j,Jsoup,11,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,12,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,13,SH SF,0,83061,,32,4,499,
defects4j,Jsoup,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,15,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,16,BF,1,15963,6,5,2,13,
defects4j,Jsoup,17,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,18,BF,0,245414,,38,22,479,
defects4j,Jsoup,19,SH SF,4,6957,4,1,2,7,
defects4j,Jsoup,20,SH SF,3,5080,1,0,0,3,
defects4j,Jsoup,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,23,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,24,SL SH SF,2,8391,3,2,2,7,
defects4j,Jsoup,25,SL SH SF,2,7838,1,0,0,2,
defects4j,Jsoup,26,SL SH SF,3,4949,3,1,1,5,
defects4j,Jsoup,27,SF,1,30114,21,10,2,48,
defects4j,Jsoup,28,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,29,BF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,30,BF,2,14389,1,1,0,4,
defects4j,Jsoup,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Jsoup,32,SL SH SF,2,3801,3,1,4,5,
defects4j,Jsoup,33,SL SH SF,1,28622,14,7,7,33,
defects4j,Jsoup,34,SL SH SF,2,24325,2,0,8,6,
defects4j,Jsoup,35,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,36,BF,0,238548,,21,23,257,
defects4j,Jsoup,37,SL SH SF,0,66562,,12,4,235,
defects4j,Jsoup,38,SF,,,,,,,Out of limited tokens. 
defects4j,Jsoup,39,SL SH SF,3,6625,1,1,0,5,
defects4j,Jsoup,40,SL SH SF,5,2945,1,1,2,7,
defects4j,Jsoup,41,SL SH SF,3,3869,1,0,1,3,
defects4j,Jsoup,42,SF,2,8104,2,1,0,4,
defects4j,Jsoup,43,SL SH SF,1,5352,2,1,0,3,
