framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Lang,1,SF,1,206633,32,25,7,184,
defects4j,Lang,3,SF,1,192740,36,14,7,146,
defects4j,Lang,4,BF,4,10645,1,0,0,4,
defects4j,Lang,5,SF,3,8508,1,0,1,3,
defects4j,Lang,6,SL SH SF,3,18948,11,7,0,26,
defects4j,Lang,7,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,8,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,9,SH SF,1,10745,5,7,0,15,
defects4j,Lang,10,SF,3,54097,26,11,1,112,
defects4j,Lang,11,SH SF,1,6028,2,0,4,2,
defects4j,Lang,12,SF,4,8459,1,0,0,4,
defects4j,Lang,13,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,14,SF,3,3637,1,0,0,3,
defects4j,Lang,15,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,16,SL SH SF,2,11313,1,0,0,2,
defects4j,Lang,17,SF,4,4640,1,0,0,4,
defects4j,Lang,19,SF,4,30580,12,10,0,51,
defects4j,Lang,20,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,21,SL SH SF,3,5221,1,0,0,3,
defects4j,Lang,22,SF,4,24048,8,5,3,20,
defects4j,Lang,23,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,24,SL SH SF,4,11679,1,0,0,4,
defects4j,Lang,26,SL SH SF,2,2792,1,2,0,6,
defects4j,Lang,27,SF,4,34328,5,3,1,12,
defects4j,Lang,28,SF,4,7100,1,0,1,4,
defects4j,Lang,29,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,30,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,31,SF,4,4779,1,0,0,4,
defects4j,Lang,32,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,33,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Lang,34,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,35,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,36,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,37,SF,1,5342,1,3,0,7,
defects4j,Lang,38,SL SH SF,3,6871,4,2,1,7,
defects4j,Lang,39,SH SF,2,23036,3,3,1,8,
defects4j,Lang,40,SH SF,1,3510,1,1,0,3,
defects4j,Lang,41,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,42,SF,0,58069,,11,0,160,
defects4j,Lang,43,SL SH SF,2,3700,1,0,2,2,
defects4j,Lang,44,SH SF,3,8297,1,0,0,3,
defects4j,Lang,45,SH SF,2,6785,1,0,0,2,
defects4j,Lang,46,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,47,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,49,SH SF,1,75090,42,16,1,196,
defects4j,Lang,50,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,51,SL SH SF,2,6137,1,0,0,2,
defects4j,Lang,52,SH SF,4,11664,3,0,2,5,
defects4j,Lang,53,SF,3,18763,2,1,0,5,
defects4j,Lang,54,SH SF,4,13593,5,2,1,9,
defects4j,Lang,55,SF,2,7589,5,0,4,4,
defects4j,Lang,56,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,57,SL SH SF,2,2788,1,0,5,2,
defects4j,Lang,58,SH SF,4,8269,1,0,0,4,
defects4j,Lang,59,SL SH SF,1,2983,1,0,0,1,
defects4j,Lang,60,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,61,SL SH SF,2,4497,1,1,0,4,
defects4j,Lang,62,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,63,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,64,BF,1,18856,1,0,3,1,
defects4j,Lang,65,SF,0,232116,,31,8,414,
