project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,7,Chart_7_2.diff
Chart,8,Chart_8_0.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_0.diff
Chart,20,Chart_20_0.diff
Chart,24,Chart_24_0.diff
Chart,26,Chart_26_0.diff
Cli,5,Cli_5_0.diff
Cli,8,Cli_8_0.diff
Cli,17,Cli_17_0.diff
Cli,24,Cli_24_0.diff
Cli,25,Cli_25_0.diff
Cli,26,Cli_26_0.diff
Cli,28,Cli_28_0.diff
Closure,10,Closure_10_0.diff
Closure,14,Closure_14_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,20,Closure_20_0.diff
Closure,36,Closure_36_0.diff
Closure,38,Closure_38_0.diff
Closure,44,Closure_44_0.diff
Closure,55,Closure_55_0.diff
Closure,57,Closure_57_0.diff
Closure,58,Closure_58_0.diff
Closure,59,Closure_59_0.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,70,Closure_70_0.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,86,Closure_86_2.diff
Closure,92,Closure_92_0.diff
Closure,101,Closure_101_0.diff
Closure,104,Closure_104_0.diff
Closure,107,Closure_107_0.diff
Closure,128,Closure_128_0.diff
Closure,129,Closure_129_0.diff
Closure,161,Closure_161_0.diff
Closure,168,Closure_168_6.diff
Codec,3,Codec_3_0.diff
Codec,7,Codec_7_0.diff
Codec,9,Codec_9_1.diff
Codec,18,Codec_18_0.diff
Collections,3,Collections_3_0.diff
Collections,13,Collections_13_0.diff
Compress,19,Compress_19_0.diff
Compress,23,Compress_23_1.diff
Compress,30,Compress_30_0.diff
Compress,32,Compress_32_0.diff
Csv,4,Csv_4_0.diff
Csv,5,Csv_5_0.diff
Csv,9,Csv_9_0.diff
Csv,11,Csv_11_0.diff
Gson,3,Gson_3_0.diff
Gson,11,Gson_11_0.diff
Gson,12,Gson_12_0.diff
Gson,15,Gson_15_2.diff
JacksonCore,5,JacksonCore_5_0.diff
JacksonCore,8,JacksonCore_8_0.diff
JacksonCore,13,JacksonCore_13_0.diff
JacksonDatabind,1,JacksonDatabind_1_0.diff
JacksonDatabind,17,JacksonDatabind_17_0.diff
JacksonDatabind,27,JacksonDatabind_27_0.diff
JacksonDatabind,34,JacksonDatabind_34_0.diff
JacksonDatabind,37,JacksonDatabind_37_0.diff
JacksonDatabind,42,JacksonDatabind_42_0.diff
JacksonDatabind,57,JacksonDatabind_57_0.diff
JacksonDatabind,62,JacksonDatabind_62_0.diff
JacksonDatabind,83,JacksonDatabind_83_0.diff
JacksonDatabind,97,JacksonDatabind_97_1.diff
JacksonDatabind,99,JacksonDatabind_99_0.diff
JacksonDatabind,102,JacksonDatabind_102_0.diff
JacksonXml,5,JacksonXml_5_0.diff
Jsoup,1,Jsoup_1_0.diff
Jsoup,24,Jsoup_24_0.diff
Jsoup,25,Jsoup_25_0.diff
Jsoup,33,Jsoup_33_0.diff
Jsoup,34,Jsoup_34_0.diff
Jsoup,39,Jsoup_39_0.diff
Jsoup,42,Jsoup_42_0.diff
Jsoup,43,Jsoup_43_0.diff
Jsoup,46,Jsoup_46_0.diff
Jsoup,47,Jsoup_47_0.diff
Jsoup,57,Jsoup_57_0.diff
Jsoup,61,Jsoup_61_0.diff
Jsoup,62,Jsoup_62_0.diff
Jsoup,72,Jsoup_72_1.diff
Jsoup,77,Jsoup_77_0.diff
Jsoup,90,Jsoup_90_0.diff
Lang,4,Lang_4_0.diff
Lang,16,Lang_16_0.diff
Lang,21,Lang_21_0.diff
Lang,24,Lang_24_0.diff
Lang,26,Lang_26_0.diff
Lang,43,Lang_43_0.diff
Lang,44,Lang_44_0.diff
Lang,45,Lang_45_0.diff
Lang,51,Lang_51_0.diff
Lang,52,Lang_52_0.diff
Lang,55,Lang_55_0.diff
Lang,59,Lang_59_0.diff
Lang,61,Lang_61_0.diff
Math,3,Math_3_0.diff
Math,5,Math_5_0.diff
Math,8,Math_8_0.diff
Math,11,Math_11_0.diff
Math,27,Math_27_0.diff
Math,30,Math_30_0.diff
Math,33,Math_33_0.diff
Math,35,Math_35_0.diff
Math,41,Math_41_0.diff
Math,48,Math_48_0.diff
Math,50,Math_50_0.diff
Math,56,Math_56_0.diff
Math,57,Math_57_0.diff
Math,59,Math_59_0.diff
Math,62,Math_62_1.diff
Math,69,Math_69_0.diff
Math,70,Math_70_0.diff
Math,72,Math_72_0.diff
Math,75,Math_75_1.diff
Math,79,Math_79_0.diff
Math,80,Math_80_0.diff
Math,82,Math_82_0.diff
Math,91,Math_91_0.diff
Math,94,Math_94_0.diff
Math,105,Math_105_0.diff
Mockito,24,Mockito_24_0.diff
Mockito,26,Mockito_26_0.diff
Time,4,Time_4_1.diff
Time,15,Time_15_0.diff
Time,16,Time_16_1.diff
Time,19,Time_19_1.diff
