framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,1,22402,14,2,13,18,
defects4j,Closure,2,SF,7,15948,6,0,5,12,
defects4j,Closure,3,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,4,SF,0,567414,,221,166,2987,
defects4j,Closure,5,SH SF,7,23600,9,5,1,18,
defects4j,Closure,6,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,7,SF,1,9483,6,8,0,17,
defects4j,Closure,8,BF,1,90828,16,2,16,21,
defects4j,Closure,9,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,10,SL SH SF,5,10540,8,1,3,10,
defects4j,Closure,11,SH SF,1,10811,7,6,3,16,
defects4j,Closure,12,SH SF,6,11131,8,2,4,14,
defects4j,Closure,13,SF,2,58698,44,24,21,81,
defects4j,Closure,14,SL SH SF,1,20501,8,5,1,12,
defects4j,Closure,15,SH SF,3,32835,22,12,12,39,
defects4j,Closure,16,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,17,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,18,SL SH SF,3,23287,6,0,0,3,
defects4j,Closure,19,SF,21,20357,7,0,0,21,
defects4j,Closure,20,SH SF,3,21311,14,7,0,17,
defects4j,Closure,21,SF,2,446568,163,150,8,760,
defects4j,Closure,22,SF,1,451661,154,138,15,750,
defects4j,Closure,23,SF,0,534171,,196,10,2727,
defects4j,Closure,24,SF,0,683738,,397,69,5328,
defects4j,Closure,25,SF,4,157577,95,43,51,197,
defects4j,Closure,26,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,27,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,28,BF,3,62375,18,15,4,45,
defects4j,Closure,29,SF,0,1495024,,327,270,4464,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,1,44303,16,3,12,19,
defects4j,Closure,32,SF,0,1144792,,404,34,5574,
defects4j,Closure,33,SH SF,1,24086,16,3,15,22,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,1169375,,175,470,2994,
defects4j,Closure,36,SH SF,2,16232,7,2,5,11,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
