framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,2,SL SH SF,1,46986,23,15,6,37,
defects4j,Codec,3,SL SH SF,4,21346,7,5,0,14,
defects4j,Codec,4,SL SH SF,1,9898,7,3,4,11,
defects4j,Codec,5,SH SF,1,14197,6,6,1,14,
defects4j,Codec,6,SF,4,24851,8,11,1,27,
defects4j,Codec,7,SL SH SF,1,11171,6,2,1,6,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,3,14557,7,0,1,4,
defects4j,Codec,10,SL SH SF,2,32733,12,8,0,18,
defects4j,Codec,11,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,12,BF,0,1287936,,249,72,3464,
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,1,18625,12,10,1,22,
defects4j,Codec,16,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,17,SL SH SF,3,8854,6,1,1,6,
defects4j,Codec,18,SL SH SF,5,10201,5,1,0,7,
