framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,234919,,47,21,774,
defects4j,Collections,2,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,3,SL SH SF,2,8836,6,2,2,8,
defects4j,Collections,4,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,5,SF,4,17591,12,9,2,24,
defects4j,Collections,6,SF,10,44953,7,3,0,16,
defects4j,Collections,7,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,8,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,9,SL SH SF,2,9618,8,2,1,7,
defects4j,Collections,10,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,11,SH SF,1,19995,21,4,19,28,
defects4j,Collections,12,SH SF,1,10374,7,5,1,12,
defects4j,Collections,13,SH SF,2,10190,7,6,0,14,
defects4j,Collections,14,SH SF,1,89053,81,13,37,81,
defects4j,Collections,15,SF,7,18578,12,12,0,31,
defects4j,Collections,16,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,17,BF,4,41830,8,6,3,19,
defects4j,Collections,18,SF,3,26423,22,11,13,38,
defects4j,Collections,19,SF,10,13971,6,5,0,20,
defects4j,Collections,20,SF,3,398075,359,298,17,4172,
defects4j,Collections,21,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,22,SF,59,209361,180,47,0,153,
defects4j,Collections,23,BF,7,51737,5,1,5,14,
defects4j,Collections,24,BF,3,246541,59,29,17,145,
defects4j,Collections,25,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,26,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,27,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,28,BF,,,,,,,Out of limited tokens. 
