framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonCore,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,3,SF,1,15565,9,6,4,17,
defects4j,JacksonCore,4,SF,8,12818,6,4,0,16,
defects4j,JacksonCore,5,SL SH SF,2,9705,6,1,2,6,
defects4j,JacksonCore,6,SH SF,11,14540,7,2,3,18,
defects4j,JacksonCore,7,SH SF,4,12379,8,3,3,13,
defects4j,JacksonCore,8,SL SH SF,7,13784,7,1,0,9,
defects4j,JacksonCore,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,10,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,11,SL SH SF,1,37896,34,27,3,58,
defects4j,JacksonCore,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,13,BF,4,66155,13,8,4,24,
defects4j,JacksonCore,14,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,15,SF,1,307347,65,63,10,206,
defects4j,JacksonCore,16,BF,3,31200,7,7,0,17,
defects4j,JacksonCore,17,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,18,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,20,SH SF,1,11836,12,3,6,13,
defects4j,JacksonCore,21,SF,1,1046624,204,32,175,353,
defects4j,JacksonCore,22,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonCore,23,SH SF,1,8537,8,6,4,17,
defects4j,JacksonCore,24,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonCore,25,SL SH SF,5,14218,7,0,0,5,
defects4j,JacksonCore,26,SL SH SF,0,769895,,264,37,3656,
