framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,JacksonDatabind,1,SL SH SF,4,17446,8,3,1,11,
defects4j,JacksonDatabind,2,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,3,BF,2,49513,6,2,8,14,
defects4j,JacksonDatabind,4,BF,3,46920,6,3,4,13,
defects4j,JacksonDatabind,5,SF,4,24565,10,6,7,23,
defects4j,JacksonDatabind,6,SF,1,257482,79,76,7,304,
defects4j,JacksonDatabind,7,SF,4,23679,20,17,2,40,
defects4j,JacksonDatabind,8,SF,1,16591,8,4,6,15,
defects4j,JacksonDatabind,9,SF,13,17649,7,0,0,13,
defects4j,JacksonDatabind,10,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,11,SF,0,1069314,,320,258,4256,
defects4j,JacksonDatabind,12,SH SF,5,12261,7,1,2,9,
defects4j,JacksonDatabind,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,14,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,15,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,16,SL SH SF,4,11463,7,7,2,20,
defects4j,JacksonDatabind,17,SL SH SF,1,12430,12,6,6,19,
defects4j,JacksonDatabind,18,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,19,SH SF,1,15210,9,0,6,7,
defects4j,JacksonDatabind,20,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,21,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,22,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,23,BF,1,45464,6,0,8,9,
defects4j,JacksonDatabind,24,SF,3,17564,14,11,1,26,
defects4j,JacksonDatabind,25,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,JacksonDatabind,26,BF,,,,,,,Out of limited tokens. 
defects4j,JacksonDatabind,27,SL SH SF,1,18784,7,1,2,5,
