framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Lang,1,SF,1,218120,40,37,4,98,
defects4j,Lang,3,SF,1,279306,64,61,4,192,
defects4j,Lang,4,BF,6,29720,7,1,0,8,
defects4j,Lang,5,SF,8,30017,8,3,0,14,
defects4j,Lang,6,SL SH SF,9,28415,17,8,0,25,
defects4j,Lang,7,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,8,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,9,SH SF,2,17223,10,8,3,21,
defects4j,Lang,10,SF,2,16959,8,9,0,20,
defects4j,Lang,11,SH SF,12,58715,23,7,12,38,
defects4j,Lang,12,SF,3,27976,10,5,1,14,
defects4j,Lang,13,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,14,SF,4,13721,7,1,0,6,
defects4j,Lang,15,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,16,SL SH SF,5,41602,6,0,0,5,
defects4j,Lang,17,SF,3,22072,15,13,1,30,
defects4j,Lang,19,SF,6,47124,20,21,1,49,
defects4j,Lang,20,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,21,SL SH SF,3,12818,4,0,0,3,
defects4j,Lang,22,SF,5,56460,20,12,8,37,
defects4j,Lang,23,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,24,SL SH SF,1,39890,7,1,0,3,
defects4j,Lang,26,SL SH SF,7,11015,6,5,0,17,
defects4j,Lang,27,SF,15,68841,7,2,2,21,
defects4j,Lang,28,SF,12,21808,6,1,1,15,
defects4j,Lang,29,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,30,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,31,SF,11,19317,7,2,3,18,
defects4j,Lang,32,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,33,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Lang,34,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,35,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,36,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,37,SF,3,15761,5,10,1,24,
defects4j,Lang,38,SL SH SF,3,10976,7,4,1,12,
defects4j,Lang,39,SH SF,2,35848,8,1,7,11,
defects4j,Lang,40,SH SF,1,11257,6,6,1,14,
defects4j,Lang,41,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,42,SF,0,343990,,161,0,2545,
defects4j,Lang,43,SL SH SF,2,17019,10,2,3,9,
defects4j,Lang,44,SH SF,5,26960,8,2,2,11,
defects4j,Lang,45,SH SF,10,24115,6,0,0,10,
defects4j,Lang,46,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,47,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,49,SH SF,2,15604,11,5,3,15,
defects4j,Lang,50,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,51,SL SH SF,2,23612,8,0,1,3,
defects4j,Lang,52,SH SF,6,16019,6,1,3,11,
defects4j,Lang,53,SF,10,61495,8,5,1,21,
defects4j,Lang,54,SH SF,4,14533,7,1,5,11,
defects4j,Lang,55,SF,5,8050,5,1,2,9,
defects4j,Lang,56,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,57,SL SH SF,13,9960,6,1,3,18,
defects4j,Lang,58,SH SF,4,25543,7,1,1,7,
defects4j,Lang,59,SL SH SF,4,13686,6,0,0,4,
defects4j,Lang,60,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,61,SL SH SF,4,15474,7,1,1,7,
defects4j,Lang,62,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,63,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,64,BF,16,75486,8,2,2,22,
defects4j,Lang,65,SF,0,1840324,,473,51,5841,
