framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Mockito,1,SH SF,5,18658,12,10,1,26,
defects4j,Mockito,2,BF,0,255528,,75,40,1217,
defects4j,Mockito,3,BF,0,1541755,,187,200,2583,
defects4j,Mockito,4,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,5,SL SH SF,5,37140,34,16,14,51,
defects4j,Mockito,6,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,7,SL SH SF,0,633157,,358,174,5464,
defects4j,Mockito,8,SL SH SF,2,87251,69,39,22,132,
defects4j,Mockito,9,BF,1,19783,7,5,4,15,
defects4j,Mockito,10,BF,1,44697,8,8,1,18,
defects4j,Mockito,11,BF,15,32838,8,1,0,17,
defects4j,Mockito,12,SF,4,10740,8,7,0,18,
defects4j,Mockito,13,SF,4,22839,7,4,3,15,
defects4j,Mockito,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,15,BF,1,17211,7,2,7,12,
defects4j,Mockito,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,6,452380,308,53,222,492,
defects4j,Mockito,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,0,1024307,,214,363,3041,
defects4j,Mockito,21,BF,16,32440,6,3,0,22,
defects4j,Mockito,22,SH SF,1,13703,11,2,6,11,
defects4j,Mockito,23,BF,2,85436,21,17,5,41,
defects4j,Mockito,24,SL SH SF,2,9507,5,2,2,8,
defects4j,Mockito,25,BF,0,1238236,,238,144,3273,
defects4j,Mockito,26,SL SH SF,4,12023,5,0,0,4,
defects4j,Mockito,27,SH SF,1,17435,18,6,13,26,
defects4j,Mockito,28,SH SF,4,33909,32,13,21,51,
defects4j,Mockito,29,SL SH SF,4,11527,8,0,0,4,
defects4j,Mockito,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,31,BF,18,45722,7,1,0,20,
defects4j,Mockito,32,BF,1,23729,7,5,4,15,
defects4j,Mockito,33,SF,1,23891,24,6,21,34,
defects4j,Mockito,34,SL SH SF,4,13477,8,1,4,10,
defects4j,Mockito,35,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,36,BF,1,356596,79,16,55,135,
defects4j,Mockito,37,BF,2,28138,11,2,9,15,
defects4j,Mockito,38,SL SH SF,4,6856,5,0,1,5,
