framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Time,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,3,BF,,,,,,,Out of limited tokens. 
defects4j,Time,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,2,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,3,BF,,,,,,,Out of limited tokens. 
defects4j,Time,4,SL SH SF,2,12448,5,1,3,7,
defects4j,Time,5,SF,1,98944,57,42,13,171,
defects4j,Time,6,BF,,,,,,,Out of limited tokens. 
defects4j,Time,7,SF,1,242669,151,90,58,477,
defects4j,Time,8,SF,0,429552,,170,4,2433,
defects4j,Time,9,BF,,,,,,,Out of limited tokens. 
defects4j,Time,10,BF,,,,,,,Out of limited tokens. 
defects4j,Time,11,BF,,,,,,,Out of limited tokens. 
defects4j,Time,12,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,13,BF,,,,,,,Out of limited tokens. 
defects4j,Time,14,SF,1,158917,109,45,68,246,
defects4j,Time,15,SH SF,2,13420,6,0,1,3,
defects4j,Time,16,SL SH SF,4,15172,7,3,0,10,
defects4j,Time,17,SF,1,24907,15,13,3,30,
defects4j,Time,18,SF,10,23584,7,4,2,20,
defects4j,Time,19,SL SH SF,3,15614,11,6,1,16,
defects4j,Time,20,SF,6,17023,7,4,9,23,
defects4j,Time,22,SF,0,374189,,55,263,1007,
defects4j,Time,23,SF,1,26608,7,9,0,19,
defects4j,Time,24,SH SF,0,1560669,,404,389,5481,
defects4j,Time,25,SH SF,0,1003414,,465,206,6078,
defects4j,Time,26,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Time,27,SF,1,138126,89,63,17,306,
