project,bug,file_name
Chart,1,Chart_1_0.diff
Chart,3,Chart_3_0.diff
Chart,4,Chart_4_0.diff
Chart,6,Chart_6_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,9,Chart_9_0.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_1.diff
Chart,13,Chart_13_0.diff
Chart,20,Chart_20_0.diff
Chart,23,Chart_23_0.diff
Chart,24,Chart_24_0.diff
Chart,26,Chart_26_0.diff
Cli,4,Cli_4_0.diff
Cli,5,Cli_5_0.diff
Cli,7,Cli_7_0.diff
Cli,8,Cli_8_0.diff
Cli,9,Cli_9_0.diff
Cli,11,Cli_11_0.diff
Cli,17,Cli_17_2.diff
Cli,24,Cli_24_0.diff
Cli,25,Cli_25_0.diff
Cli,27,Cli_27_0.diff
Cli,28,Cli_28_0.diff
Cli,29,Cli_29_0.diff
Cli,35,Cli_35_0.diff
Cli,37,Cli_37_0.diff
Cli,39,Cli_39_3.diff
Cli,40,Cli_40_0.diff
Closure,1,Closure_1_0.diff
Closure,5,Closure_5_1.diff
Closure,8,Closure_8_0.diff
Closure,10,Closure_10_0.diff
Closure,13,Closure_13_0.diff
Closure,14,Closure_14_0.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_0.diff
Closure,20,Closure_20_2.diff
Closure,33,Closure_33_0.diff
Closure,38,Closure_38_0.diff
Closure,40,Closure_40_0.diff
Closure,44,Closure_44_0.diff
Closure,51,Closure_51_1.diff
Closure,55,Closure_55_0.diff
Closure,56,Closure_56_0.diff
Closure,57,Closure_57_0.diff
Closure,58,Closure_58_1.diff
Closure,62,Closure_62_0.diff
Closure,65,Closure_65_0.diff
Closure,67,Closure_67_0.diff
Closure,70,Closure_70_0.diff
Closure,73,Closure_73_0.diff
Closure,77,Closure_77_0.diff
Closure,78,Closure_78_0.diff
Closure,83,Closure_83_0.diff
Closure,86,Closure_86_0.diff
Closure,97,Closure_97_0.diff
Closure,101,Closure_101_1.diff
Closure,104,Closure_104_0.diff
Closure,114,Closure_114_0.diff
Closure,118,Closure_118_0.diff
Closure,119,Closure_119_1.diff
Closure,120,Closure_120_0.diff
Closure,125,Closure_125_3.diff
Closure,126,Closure_126_1.diff
Closure,128,Closure_128_2.diff
Closure,129,Closure_129_0.diff
Closure,146,Closure_146_5.diff
Closure,152,Closure_152_0.diff
Closure,161,Closure_161_0.diff
Closure,168,Closure_168_0.diff
Codec,2,Codec_2_0.diff
Codec,3,Codec_3_0.diff
Codec,4,Codec_4_0.diff
Codec,6,Codec_6_0.diff
Codec,7,Codec_7_0.diff
Codec,9,Codec_9_0.diff
Codec,10,Codec_10_1.diff
Codec,17,Codec_17_0.diff
Codec,18,Codec_18_0.diff
Collections,3,Collections_3_0.diff
Collections,6,Collections_6_0.diff
Collections,13,Collections_13_0.diff
Collections,17,Collections_17_0.diff
Collections,22,Collections_22_6.diff
Compress,1,Compress_1_0.diff
Compress,7,Compress_7_0.diff
Compress,10,Compress_10_1.diff
Compress,11,Compress_11_3.diff
