framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Cli,1,BF,5,96730,6,0,16,6,
defects4j,Cli,2,SF,2,18807,18,10,1,27,
defects4j,Cli,3,SH SF,9,6687,6,1,2,12,
defects4j,Cli,4,SH SF,4,15079,14,12,2,29,
defects4j,Cli,5,SH SF,1,3293,4,0,3,4,
defects4j,Cli,7,BF,2,41716,6,0,4,3,
defects4j,Cli,8,SL SH SF,4,6011,7,4,0,12,
defects4j,Cli,9,SF,2,7852,5,6,1,15,
defects4j,Cli,10,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,11,SL SH SF,1,5113,6,1,1,3,
defects4j,Cli,12,SF,4,10832,6,5,0,14,
defects4j,Cli,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,14,SF,7,39350,25,6,14,28,
defects4j,Cli,15,SF,4,22083,20,16,1,46,
defects4j,Cli,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,17,SL SH SF,17,22464,16,6,1,30,
defects4j,Cli,18,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,19,SF,1,5179,6,1,7,7,
defects4j,Cli,20,SF,0,283450,,83,55,1198,
defects4j,Cli,21,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,22,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,23,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,24,SH SF,1,9216,6,5,3,11,
defects4j,Cli,25,SL SH SF,1,6828,5,3,0,7,
defects4j,Cli,26,SF,4,17149,18,10,3,27,
defects4j,Cli,27,SF,4,5683,5,2,0,8,
defects4j,Cli,28,SL SH SF,1,7961,5,1,3,6,
defects4j,Cli,29,SF,2,27271,38,31,0,99,
defects4j,Cli,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,31,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,32,SH SF,3,26518,20,15,8,34,
defects4j,Cli,33,BF,,,,,,,Out of limited tokens. 
defects4j,Cli,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,35,SH SF,3,4575,5,0,0,3,
defects4j,Cli,36,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Cli,37,SF,4,6292,6,3,0,10,
defects4j,Cli,38,SF,6,15000,10,10,2,27,
defects4j,Cli,39,BF,5,76136,5,0,12,6,
defects4j,Cli,40,SL SH SF,8,9214,6,3,0,14,
