framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,1,27446,18,1,19,12,
defects4j,Closure,2,SF,9,17623,6,0,7,11,
defects4j,Closure,3,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,4,SF,3,195479,175,51,46,574,
defects4j,Closure,5,SH SF,4,11009,5,3,0,10,
defects4j,Closure,6,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,7,SF,2,5427,6,5,0,12,
defects4j,Closure,8,BF,2,74930,10,4,7,14,
defects4j,Closure,9,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,10,SL SH SF,5,7369,7,1,0,7,
defects4j,Closure,11,SH SF,4,55414,59,37,8,116,
defects4j,Closure,12,SH SF,9,7191,7,4,1,17,
defects4j,Closure,13,SF,1,33690,29,11,13,35,
defects4j,Closure,14,SL SH SF,0,911081,,120,95,1572,
defects4j,Closure,15,SH SF,2,24416,26,14,12,44,
defects4j,Closure,16,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,17,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,18,SL SH SF,4,17326,5,2,0,8,
defects4j,Closure,19,SF,16,14014,6,1,1,19,
defects4j,Closure,20,SH SF,2,13813,13,5,3,12,
defects4j,Closure,21,SF,1,354121,152,66,13,533,
defects4j,Closure,22,SF,3,43059,14,7,0,17,
defects4j,Closure,23,SF,0,323183,,139,13,2008,
defects4j,Closure,24,SF,3,145865,132,59,16,430,
defects4j,Closure,25,SF,2,48231,34,9,13,38,
defects4j,Closure,26,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,27,BF,,,,,,,Out of limited tokens. 
defects4j,Closure,28,BF,1,16902,5,6,1,14,
defects4j,Closure,29,SF,0,820205,,158,100,2142,
defects4j,Closure,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,2,15188,5,1,4,7,
defects4j,Closure,32,SF,0,598274,,183,11,2531,
defects4j,Closure,33,SH SF,1,80308,12,18,31,77,
defects4j,Closure,34,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,575879,,115,214,1771,
defects4j,Closure,36,SH SF,6,10758,5,1,2,8,
defects4j,Closure,37,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,3,7210,5,3,1,9,
defects4j,Closure,39,SF,0,259807,,19,134,286,
defects4j,Closure,40,SF,3,282733,187,74,26,618,
